Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
12/04/2014, UCF, 148, 40, 274, 33, 20, 6, 40, 0, 0, 22, 15, 4, 1, 0, 1884, 32, East Carolina, 14, 27, 397, 49, 36, 12, 127, 0, 2, 25, 15, 7, 2, 1, 1716, 30
12/05/2014, Northern Illinois, 334, 51, 218, 49, 29, 5, 40, 0, 1, 29, 19, 10, 1, 1, 2279, 51, Bowling Green, 124, 35, 163, 25, 13, 2, 5, 0, 3, 13, 13, 4, 3, 0, 1321, 17
12/05/2014, Arizona, 111, 35, 113, 26, 9, 8, 67, 0, 1, 10, 15, 3, 2, 0, 1265, 13, Oregon, 301, 54, 326, 40, 27, 13, 84, 0, 0, 31, 18, 9, 1, 0, 2335, 51
12/06/2014, Louisiana Tech, 196, 45, 72, 20, 7, 4, 26, 0, 1, 14, 17, 4, 0, 0, 1982, 23, Marshall, 121, 35, 308, 46, 25, 9, 75, 0, 1, 20, 15, 4, 1, 0, 2005, 26
12/06/2014, Houston, 234, 35, 360, 45, 27, 4, 37, 0, 1, 27, 15, 8, 3, 1, 1665, 31, Cincinnati, 152, 43, 348, 38, 25, 1, 10, 0, 0, 33, 11, 5, 0, 0, 1935, 38
12/06/2014, SMU, 277, 47, 145, 33, 15, 6, 50, 0, 1, 20, 19, 10, 0, 0, 1925, 27, Connecticut, 250, 41, 67, 14, 5, 4, 44, 0, 1, 11, 14, 5, 1, 1, 1675, 20
12/06/2014, Iowa State, 84, 32, 152, 41, 16, 2, 19, 0, 2, 13, 18, 3, 2, 0, 1715, 3, TCU, 197, 38, 525, 45, 33, 5, 50, 0, 1, 33, 13, 5, 2, 1, 1885, 55
12/06/2014, Oklahoma State, 112, 26, 273, 35, 19, 9, 55, 0, 1, 18, 11, 3, 0, 0, 1367, 38, Oklahoma, 304, 63, 120, 17, 10, 3, 28, 0, 0, 21, 17, 8, 0, 0, 2227, 35
12/06/2014, Alabama, 242, 49, 262, 27, 23, 2, 10, 0, 0, 28, 13, 9, 0, 0, 2203, 42, Missouri, 41, 23, 272, 34, 16, 6, 60, 0, 0, 10, 16, 6, 1, 1, 1397, 13
12/06/2014, Temple, 92, 30, 255, 38, 20, 8, 67, 0, 1, 16, 13, 1, 2, 1, 1935, 10, Tulane, 115, 31, 151, 40, 19, 4, 35, 0, 1, 14, 17, 2, 4, 2, 1665, 3
12/06/2014, Kansas State, 103, 40, 300, 27, 22, 3, 30, 0, 1, 27, 12, 6, 1, 1, 2087, 27, Baylor, 172, 37, 412, 41, 34, 7, 70, 0, 1, 34, 10, 8, 0, 0, 1513, 38
12/06/2014, Florida State, 179, 33, 309, 30, 21, 5, 45, 0, 0, 24, 12, 7, 0, 0, 1505, 37, Georgia Tech, 331, 59, 134, 14, 8, 3, 20, 0, 1, 28, 10, 5, 2, 1, 2095, 35
12/06/2014, Wisconsin, 71, 37, 187, 43, 17, 3, 23, 0, 3, 18, 18, 5, 5, 3, 2035, 0, Ohio State, 301, 38, 257, 18, 12, 5, 44, 0, 0, 24, 8, 2, 0, 0, 1565, 59
12/06/2014, Fresno State, 70, 41, 332, 46, 30, 4, 43, 0, 3, 21, 23, 11, 4, 2, 2153, 14, Boise State, 149, 33, 155, 16, 9, 7, 47, 0, 0, 11, 12, 5, 0, 0, 1447, 28
