Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
10/09/2014, BYU, 189, 49, 153, 37, 22, 9, 71, 0, 1, 21, 18, 6, 1, 0, 1687, 24, UCF, 63, 33, 326, 52, 30, 4, 44, 0, 2, 22, 16, 5, 2, 2, 1913, 31
10/10/2014, Washington State, -26, 11, 292, 69, 42, 10, 75, 0, 1, 18, 19, 5, 5, 4, 1690, 17, Stanford, 193, 33, 284, 35, 23, 9, 80, 0, 0, 20, 12, 4, 1, 0, 1910, 34
10/10/2014, San Diego State, 397, 46, 73, 17, 5, 10, 102, 0, 2, 19, 13, 7, 0, 0, 1669, 24, New Mexico, 152, 38, 111, 24, 11, 6, 57, 0, 1, 15, 13, 4, 1, 0, 1931, 14
10/10/2014, Fresno State, 177, 33, 310, 44, 25, 6, 80, 0, 2, 21, 14, 2, 5, 3, 1567, 27, UNLV, 146, 46, 332, 40, 29, 8, 59, 0, 1, 22, 21, 8, 2, 1, 2033, 30
10/11/2014, Middle Tennessee, 169, 37, 201, 37, 25, 8, 101, 0, 1, 20, 14, 3, 2, 1, 1620, 24, Marshall, 252, 52, 337, 33, 17, 8, 101, 0, 1, 28, 17, 7, 5, 4, 1980, 49
10/11/2014, Rice, 182, 41, 209, 21, 15, 5, 41, 0, 0, 17, 14, 7, 2, 1, 1885, 41, Army, 250, 54, 91, 14, 6, 2, 24, 0, 0, 19, 13, 5, 3, 1, 1715, 21
10/11/2014, Cincinnati, 67, 29, 355, 60, 31, 5, 54, 0, 3, 26, 20, 8, 3, 2, 1874, 34, Miami (Florida), 335, 35, 286, 25, 17, 13, 155, 0, 0, 20, 10, 3, 0, 0, 1726, 55
10/11/2014, Tulsa, 178, 50, 260, 36, 21, 8, 108, 0, 0, 24, 18, 6, 4, 0, 2194, 24, Temple, 203, 35, 294, 31, 15, 5, 30, 0, 1, 21, 12, 1, 4, 2, 1406, 35
10/11/2014, Florida State, 165, 36, 317, 36, 30, 6, 36, 0, 0, 29, 10, 6, 0, 0, 2187, 38, Syracuse, 156, 31, 256, 36, 21, 7, 64, 0, 3, 20, 14, 7, 1, 0, 1413, 20
10/11/2014, West Virginia, 249, 50, 301, 44, 28, 7, 63, 0, 0, 29, 22, 12, 2, 1, 1813, 37, Texas Tech, 217, 38, 348, 46, 28, 12, 115, 0, 1, 24, 18, 6, 3, 2, 1787, 34
10/11/2014, Texas, 148, 40, 334, 44, 27, 11, 85, 0, 1, 24, 18, 7, 1, 1, 2278, 26, Oklahoma, 103, 30, 129, 20, 12, 3, 20, 0, 0, 11, 11, 1, 0, 0, 1322, 31
