rank,team
1,"Alabama"
2,"Oregon"
3,"Florida State"
4,"Ohio State"
5,"Baylor"
6,"TCU"
7,"Mississippi State"
8,"Michigan State"
9,"Mississippi"
10,"Arizona"
11,"Kansas State"
12,"Georgia Tech"
13,"Georgia"
14,"UCLA"
15,"Arizona State"
16,"Missouri"
17,"Clemson"
18,"Wisconsin"
19,"Auburn"
20,"Boise State"
21,"Louisville"
22,"Utah"
23,"LSU"
24,"Southern California"
25,"Minnesota"
