Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
11/18/2014, Massachusetts, 67, 30, 168, 21, 13, 5, 45, 0, 3, 11, 10, 2, 2, 0, 1478, 6, Akron, 134, 37, 277, 39, 26, 4, 40, 0, 0, 26, 12, 4, 0, 0, 2056, 30
11/18/2014, Northern Illinois, 141, 41, 184, 24, 16, 6, 85, 0, 0, 19, 13, 6, 0, 0, 1592, 21, Ohio, 203, 39, 141, 28, 19, 4, 30, 0, 1, 24, 14, 7, 2, 1, 2008, 14
11/19/2014, Bowling Green, 104, 38, 167, 37, 12, 9, 61, 0, 0, 16, 18, 6, 3, 0, 1539, 20, Toledo, 325, 53, 63, 20, 9, 8, 59, 0, 2, 19, 14, 6, 1, 0, 2061, 27
11/20/2014, Kansas State, 1, 29, 400, 34, 22, 10, 102, 0, 1, 18, 14, 4, 1, 0, 1893, 26, West Virginia, 123, 37, 310, 48, 27, 8, 77, 0, 2, 27, 16, 6, 3, 2, 1707, 20
11/20/2014, North Carolina, 316, 57, 276, 27, 18, 8, 75, 0, 0, 28, 12, 4, 2, 2, 1837, 45, Duke, 116, 37, 262, 40, 22, 5, 35, 0, 1, 21, 19, 10, 3, 2, 1714, 20
11/20/2014, Arkansas State, 132, 40, 366, 57, 31, 8, 80, 0, 1, 25, 22, 7, 6, 3, 1826, 27, Texas State, 370, 57, 192, 22, 14, 5, 55, 0, 0, 28, 14, 6, 0, 0, 1774, 45
11/21/2014, UTEP, 53, 25, 209, 30, 17, 3, 20, 0, 0, 12, 12, 3, 1, 0, 1689, 13, Rice, 165, 42, 227, 22, 10, 12, 95, 0, 1, 17, 15, 7, 0, 0, 1911, 31
11/21/2014, Air Force, 140, 41, 189, 27, 12, 3, 20, 0, 1, 16, 16, 7, 3, 1, 1443, 14, San Diego State, 176, 44, 326, 31, 17, 5, 39, 0, 1, 23, 16, 6, 1, 1, 2157, 30
11/21/2014, San Jose State, 191, 51, 61, 21, 13, 7, 43, 0, 0, 14, 17, 4, 5, 2, 1837, 7, Utah State, 313, 42, 108, 23, 15, 5, 40, 0, 1, 20, 13, 8, 1, 0, 1710, 41
11/22/2014, South Alabama, 119, 44, 170, 34, 17, 5, 30, 0, 4, 20, 17, 7, 0, 0, 2148, 12, South Carolina, 210, 37, 244, 20, 11, 6, 57, 0, 1, 20, 10, 4, 0, 0, 1452, 37
