Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
10/14/2014, Louisiana-Lafayette, 276, 58, 240, 23, 16, 7, 35, 0, 1, 25, 15, 7, 1, 0, 2318, 34, Texas State, 94, 35, 176, 23, 14, 4, 20, 0, 1, 12, 14, 4, 1, 0, 1282, 10
10/16/2014, Virginia Tech, 26, 22, 265, 45, 26, 8, 45, 0, 0, 16, 14, 2, 2, 0, 1694, 16, Pittsburgh, 210, 43, 121, 18, 11, 7, 70, 0, 1, 15, 16, 6, 0, 0, 1906, 21
10/16/2014, Utah, 253, 46, 62, 18, 9, 6, 66, 0, 1, 16, 14, 3, 1, 1, 1538, 29, Oregon State, 119, 46, 272, 37, 21, 9, 75, 0, 1, 20, 17, 4, 3, 2, 2062, 23
10/17/2014, Fresno State, 186, 34, 127, 25, 13, 2, 20, 0, 1, 12, 16, 6, 0, 0, 1467, 27, Boise State, 264, 51, 228, 32, 23, 6, 30, 0, 0, 24, 19, 9, 2, 2, 2133, 37
10/17/2014, Temple, 98, 20, 259, 29, 12, 11, 93, 0, 3, 11, 11, 2, 2, 0, 1047, 10, Houston, 171, 49, 268, 33, 29, 10, 102, 0, 0, 23, 17, 7, 1, 1, 2553, 31
10/18/2014, South Florida, 140, 32, 272, 26, 17, 7, 77, 0, 1, 19, 12, 5, 0, 0, 1617, 38, Tulsa, 174, 41, 314, 34, 22, 11, 114, 0, 0, 20, 16, 6, 1, 0, 1983, 30
10/18/2014, Tulane, 131, 36, 147, 42, 18, 9, 84, 0, 2, 17, 17, 5, 4, 0, 1901, 13, UCF, 94, 38, 139, 24, 12, 8, 67, 0, 2, 14, 14, 4, 3, 0, 1699, 20
10/18/2014, Syracuse, 199, 38, 171, 32, 22, 6, 55, 0, 0, 17, 19, 9, 0, 0, 1907, 30, Wake Forest, 71, 36, 99, 23, 15, 3, 35, 0, 1, 12, 15, 3, 2, 1, 1693, 7
10/18/2014, Baylor, 95, 42, 223, 37, 16, 18, 215, 0, 0, 22, 16, 3, 2, 0, 1757, 27, West Virginia, 134, 50, 322, 35, 23, 14, 138, 0, 1, 33, 15, 6, 0, 0, 1843, 41
10/18/2014, Kansas State, 160, 32, 225, 23, 15, 2, 20, 0, 0, 17, 11, 5, 0, 0, 1662, 31, Oklahoma, 198, 42, 335, 36, 28, 3, 19, 0, 2, 30, 11, 7, 0, 0, 1938, 30
10/18/2014, Iowa, 116, 31, 317, 56, 32, 7, 65, 0, 1, 19, 21, 7, 2, 1, 1771, 31, Maryland, 212, 46, 206, 33, 17, 6, 50, 0, 2, 22, 16, 4, 1, 1, 1829, 38
10/18/2014, Purdue, 298, 35, 153, 26, 16, 7, 55, 0, 2, 17, 12, 5, 2, 1, 1693, 38, Minnesota, 285, 52, 165, 18, 9, 7, 66, 0, 0, 22, 12, 6, 0, 0, 1907, 39
10/18/2014, Western Kentucky, 67, 26, 335, 44, 28, 3, 25, 0, 1, 23, 12, 5, 2, 1, 1414, 38, Florida Atlantic, 278, 54, 341, 35, 24, 6, 59, 0, 0, 29, 18, 8, 6, 6, 2186, 45
10/18/2014, UTSA, 134, 39, 190, 33, 20, 8, 85, 0, 3, 17, 16, 4, 2, 1, 1950, 20, Louisiana Tech, 121, 35, 157, 33, 14, 10, 85, 0, 1, 16, 18, 7, 1, 1, 1650, 27
10/18/2014, Furman, 211, 39, 91, 19, 11, 6, 55, 0, 1, 16, 9, 1, 0, 0, 1823, 10, South Carolina, 267, 43, 281, 28, 16, 7, 53, 0, 0, 26, 12, 4, 2, 2, 1777, 41
10/18/2014, Virginia, 140, 31, 325, 47, 22, 6, 60, 0, 0, 23, 16, 8, 1, 0, 1870, 13, Duke, 155, 30, 179, 38, 23, 3, 30, 0, 0, 19, 13, 4, 0, 0, 1730, 20
10/18/2014, Akron, 84, 25, 268, 46, 23, 10, 83, 0, 2, 18, 14, 3, 2, 0, 1692, 20, Ohio, 159, 39, 197, 37, 17, 11, 120, 0, 1, 19, 18, 6, 1, 1, 1908, 23
10/18/2014, Western Michigan, 195, 50, 166, 24, 15, 5, 49, 0, 0, 20, 18, 9, 2, 2, 2366, 26, Bowling Green, 135, 31, 139, 33, 20, 5, 40, 0, 1, 14, 14, 5, 2, 1, 1234, 14
10/18/2014, Eastern Michigan, 133, 32, 147, 21, 10, 10, 92, 0, 1, 11, 12, 2, 3, 1, 1434, 14, Massachusetts, 225, 43, 337, 51, 28, 9, 55, 0, 1, 34, 18, 10, 5, 3, 2166, 36
10/18/2014, Appalachian State, 441, 54, 110, 16, 9, 7, 52, 0, 0, 24, 12, 6, 2, 0, 1874, 53, Troy, 79, 32, 229, 40, 27, 11, 89, 0, 2, 17, 16, 6, 4, 1, 1726, 14
10/18/2014, Texas A&M, 31, 24, 141, 31, 19, 2, 6, 0, 1, 8, 13, 2, 2, 0, 1409, 0, Alabama, 298, 45, 304, 35, 21, 0, 0, 0, 0, 30, 15, 9, 1, 1, 2191, 59
10/18/2014, UCLA, 237, 47, 330, 42, 31, 6, 63, 0, 1, 33, 13, 2, 3, 2, 1854, 36, California, 56, 31, 310, 42, 26, 4, 40, 0, 1, 21, 14, 5, 1, 1, 1746, 34
10/18/2014, New Mexico, 367, 52, 33, 10, 4, 1, 15, 0, 0, 14, 15, 4, 4, 2, 1786, 31, Air Force, 269, 74, 159, 9, 5, 1, 5, 0, 0, 23, 18, 9, 3, 1, 1814, 35
10/18/2014, Army, 295, 56, 35, 15, 5, 5, 38, 0, 1, 19, 13, 5, 4, 0, 1578, 17, Kent State, 107, 24, 360, 40, 27, 5, 53, 0, 1, 21, 12, 6, 1, 1, 2022, 39
10/18/2014, Ball State, 89, 38, 198, 38, 21, 4, 25, 0, 0, 24, 14, 5, 1, 1, 1837, 32, Central Michigan, 181, 37, 245, 32, 20, 10, 91, 0, 2, 24, 11, 6, 1, 0, 1763, 29
10/18/2014, Rutgers, 149, 38, 196, 29, 18, 0, 0, 0, 1, 18, 13, 3, 2, 1, 1886, 17, Ohio State, 324, 40, 261, 31, 19, 4, 28, 0, 0, 31, 9, 5, 3, 2, 1714, 56
10/18/2014, UAB, 220, 60, 185, 30, 19, 10, 90, 0, 2, 25, 18, 7, 2, 1, 2065, 22, Middle Tennessee, 229, 41, 141, 19, 6, 8, 70, 0, 0, 13, 14, 3, 2, 1, 1535, 34
10/18/2014, North Carolina State, 128, 31, 223, 32, 18, 2, 20, 0, 1, 20, 14, 6, 1, 0, 1815, 18, Louisville, 166, 33, 203, 36, 21, 4, 33, 0, 0, 21, 16, 9, 0, 0, 1785, 30
10/18/2014, Cincinnati, 240, 46, 268, 27, 17, 6, 69, 0, 0, 29, 9, 3, 1, 1, 1942, 41, SMU, 98, 24, 178, 37, 20, 7, 74, 0, 2, 14, 14, 6, 3, 1, 1658, 3
10/18/2014, Clemson, 113, 36, 285, 45, 29, 4, 30, 0, 0, 22, 21, 10, 0, 0, 1915, 17, Boston College, 120, 36, 143, 20, 9, 3, 30, 0, 0, 11, 14, 2, 2, 1, 1685, 13
10/18/2014, Michigan State, 330, 51, 332, 32, 24, 3, 37, 0, 1, 30, 16, 10, 0, 0, 2364, 56, Indiana, 213, 33, 11, 16, 5, 4, 25, 0, 0, 7, 12, 1, 0, 0, 1236, 17
10/18/2014, Kansas, 128, 40, 235, 32, 20, 4, 37, 0, 1, 19, 14, 4, 2, 0, 1792, 21, Texas Tech, 219, 37, 288, 44, 28, 4, 22, 0, 1, 26, 15, 5, 2, 1, 1808, 34
10/18/2014, Oklahoma State, 126, 39, 132, 25, 10, 4, 23, 0, 2, 12, 15, 3, 0, 0, 1666, 9, TCU, 261, 40, 415, 42, 27, 5, 45, 0, 1, 26, 15, 7, 2, 1, 1934, 42
10/18/2014, Georgia, 207, 39, 179, 17, 10, 9, 101, 0, 0, 18, 11, 5, 1, 0, 1506, 45, Arkansas, 126, 37, 296, 45, 28, 7, 79, 0, 2, 29, 15, 8, 2, 1, 2094, 32
10/18/2014, San Jose State, 149, 41, 322, 45, 33, 5, 40, 0, 0, 31, 15, 6, 1, 1, 2154, 27, Wyoming, 158, 30, 119, 28, 11, 7, 72, 0, 0, 11, 16, 5, 3, 2, 1446, 20
10/18/2014, New Mexico State, 214, 34, 100, 16, 9, 7, 39, 0, 3, 11, 12, 3, 0, 0, 1333, 17, Idaho, 310, 52, 226, 37, 23, 6, 57, 0, 1, 30, 13, 5, 3, 2, 2267, 29
10/18/2014, Miami (Ohio), 168, 30, 346, 42, 23, 8, 56, 0, 0, 26, 12, 5, 2, 2, 1793, 41, Northern Illinois, 433, 55, 225, 22, 16, 5, 43, 0, 0, 30, 10, 7, 0, 0, 1807, 51
10/18/2014, Marshall, 243, 26, 214, 27, 15, 9, 65, 0, 1, 18, 12, 6, 0, 0, 1311, 45, Florida International, 177, 53, 208, 32, 18, 8, 88, 0, 2, 23, 19, 10, 0, 0, 2289, 13
10/18/2014, Colorado, 172, 46, 231, 49, 31, 7, 61, 0, 2, 27, 17, 6, 6, 3, 2157, 28, USC, 213, 33, 319, 28, 19, 7, 85, 0, 0, 21, 11, 4, 0, 0, 1443, 56
10/18/2014, Tennessee, 0, 28, 191, 34, 19, 3, 23, 0, 3, 10, 16, 3, 1, 0, 1616, 3, Mississippi, 180, 47, 203, 31, 14, 2, 49, 0, 0, 18, 20, 7, 1, 1, 1984, 34
10/18/2014, Missouri, 99, 31, 20, 18, 6, 11, 74, 0, 1, 7, 14, 5, 0, 0, 1561, 42, Florida, 135, 48, 148, 31, 15, 3, 39, 0, 3, 17, 19, 8, 1, 0, 2039, 13
10/18/2014, Southern Mississippi, 201, 41, 305, 41, 27, 6, 70, 0, 2, 30, 13, 7, 1, 1, 2231, 30, North Texas, 108, 26, 287, 35, 20, 4, 55, 0, 0, 21, 13, 5, 1, 0, 1369, 20
