,year,date,away_team,home_team,away_score,home_score,winner
83,2014,09/01/2014, Miami (Florida), Louisville,13.0,31.0, Louisville
0,2014,10/30/2014, Florida State, Louisville,42.0,31.0, Florida State
1,2014,10/30/2014, Troy, Georgia Southern,10.0,42.0, Georgia Southern
2,2014,10/31/2014, Cincinnati, Tulane,38.0,14.0, Cincinnati
3,2014,10/31/2014, Tulsa, Memphis,20.0,40.0, Memphis
4,2014,11/01/2014, Air Force, Army,23.0,6.0, Air Force
5,2014,11/01/2014, Northwestern, Iowa,7.0,48.0, Iowa
6,2014,11/01/2014, Maryland, Penn State,20.0,19.0, Maryland
7,2014,11/01/2014, Wisconsin, Rutgers,37.0,0.0, Wisconsin
8,2014,11/01/2014, Rice, Florida International,31.0,17.0, Rice
9,2014,11/01/2014, UCF, Connecticut,29.0,37.0, Connecticut
10,2014,11/01/2014, East Carolina, Temple,10.0,20.0, Temple
11,2014,11/01/2014, Duke, Pittsburgh,51.0,48.0, Duke
12,2014,11/01/2014, Oklahoma, Iowa State,59.0,14.0, Oklahoma
13,2014,11/01/2014, Louisiana-Monroe, Texas A&M,16.0,21.0, Texas A&M
14,2014,11/01/2014, North Carolina, Miami (Florida),20.0,47.0, Miami (Florida)
15,2014,11/01/2014, Boston College, Virginia Tech,33.0,31.0, Boston College
16,2014,11/01/2014, Central Michigan, Eastern Michigan,38.0,7.0, Central Michigan
17,2014,11/01/2014, Washington, Colorado,38.0,23.0, Washington
18,2014,11/01/2014, Western Michigan, Miami (Ohio),41.0,10.0, Western Michigan
19,2014,11/01/2014, Western Kentucky, Louisiana Tech,10.0,59.0, Louisiana Tech
20,2014,11/01/2014, North Carolina State, Syracuse,24.0,17.0, North Carolina State
21,2014,11/01/2014, TCU, West Virginia,31.0,30.0, TCU
22,2014,11/01/2014, Virginia, Georgia Tech,10.0,35.0, Georgia Tech
23,2014,11/01/2014, BYU, Middle Tennessee,27.0,7.0, BYU
24,2014,11/01/2014, Purdue, Nebraska,14.0,35.0, Nebraska
25,2014,11/01/2014, Indiana, Michigan,10.0,34.0, Michigan
26,2014,11/01/2014, Florida, Georgia,38.0,20.0, Florida
27,2014,11/01/2014, Georgia State, Appalachian State,0.0,44.0, Appalachian State
28,2014,11/01/2014, Texas State, New Mexico State,37.0,29.0, Texas State
