conf,standing,team,prob
NFC,1,SEA,0.060899
NFC,2,GB,0.039706
NFC,3,PHI,0.034789
NFC,4,CAR,0.020633
NFC,5,STL,0.041586
NFC,6,ARI,0.037254
AFC,1,KC,0.075145
AFC,2,NE,0.066028
AFC,3,BAL,0.042754
AFC,4,IND,0.034826
AFC,5,DEN,0.058318
AFC,6,MIA,0.052344
