Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
11/25/2014, Ohio, 179, 40, 174, 26, 14, 3, 24, 0, 3, 22, 11, 4, 0, 0, 1967, 24, Miami (Ohio), 99, 25, 218, 38, 15, 7, 46, 0, 1, 18, 13, 4, 0, 0, 1582, 21
11/27/2014, LSU, 384, 57, 107, 21, 12, 9, 85, 0, 1, 25, 15, 6, 2, 2, 2473, 23, Texas A&M, 84, 21, 144, 27, 17, 3, 25, 0, 1, 12, 11, 4, 0, 0, 1127, 17
11/27/2014, TCU, 135, 31, 233, 34, 20, 6, 45, 0, 1, 16, 15, 5, 0, 0, 1732, 48, Texas, 90, 36, 200, 34, 20, 3, 17, 0, 4, 12, 18, 5, 0, 0, 1855, 10
11/28/2014, Northern Illinois, 196, 34, 159, 20, 9, 3, 22, 0, 0, 15, 12, 5, 0, 0, 1173, 31, Western Michigan, 91, 43, 256, 33, 23, 4, 30, 0, 2, 21, 17, 9, 1, 0, 2658, 21
11/28/2014, Nebraska, 161, 31, 202, 28, 12, 5, 49, 0, 2, 13, 15, 5, 0, 0, 1336, 37, Iowa, 142, 50, 230, 38, 19, 3, 21, 0, 1, 24, 20, 10, 1, 1, 2264, 34
11/28/2014, Western Kentucky, 222, 35, 516, 51, 35, 4, 38, 0, 2, 37, 12, 6, 0, 0, 1983, 67, Marshall, 291, 36, 417, 46, 29, 6, 59, 0, 4, 37, 11, 7, 0, 0, 1617, 66
11/28/2014, UCF, 145, 45, 150, 29, 20, 5, 42, 0, 1, 23, 18, 11, 1, 1, 2121, 16, South Florida, 5, 22, 195, 39, 18, 5, 75, 0, 0, 15, 15, 5, 4, 1, 1479, 0
11/28/2014, Houston, 282, 48, 151, 29, 18, 4, 28, 0, 1, 25, 14, 4, 3, 1, 1869, 35, SMU, 78, 31, 145, 28, 13, 8, 94, 0, 0, 10, 15, 4, 1, 0, 1731, 9
11/28/2014, Toledo, 172, 47, 341, 20, 16, 7, 63, 0, 0, 23, 11, 4, 1, 1, 1938, 52, Eastern Michigan, 96, 34, 119, 23, 8, 2, 14, 0, 2, 12, 15, 4, 0, 0, 1662, 16
11/28/2014, Ball State, 199, 39, 286, 29, 20, 3, 25, 0, 0, 24, 15, 8, 1, 1, 2207, 41, Bowling Green, 314, 39, 140, 27, 18, 6, 36, 0, 0, 18, 15, 7, 4, 1, 1393, 24
11/28/2014, Buffalo, 293, 49, 255, 27, 20, 5, 55, 0, 0, 23, 14, 7, 2, 2, 2105, 41, Massachusetts, 162, 35, 168, 29, 13, 5, 50, 0, 0, 18, 15, 6, 1, 1, 1572, 21
11/28/2014, Akron, 188, 30, 191, 42, 17, 6, 59, 0, 2, 17, 19, 9, 0, 0, 1772, 24, Kent State, 112, 23, 298, 45, 28, 6, 50, 0, 1, 20, 14, 6, 1, 0, 1828, 27
11/28/2014, Arkansas, 155, 30, 133, 30, 13, 12, 105, 0, 0, 18, 14, 5, 3, 2, 1637, 14, Missouri, 158, 41, 265, 42, 25, 7, 75, 0, 1, 26, 19, 9, 2, 2, 1963, 21
11/28/2014, Navy, 388, 54, 42, 4, 1, 1, 15, 0, 0, 17, 10, 4, 3, 1, 1508, 42, South Alabama, 238, 47, 177, 32, 21, 5, 51, 0, 2, 22, 18, 10, 1, 1, 2092, 40
11/28/2014, Arizona State, 113, 43, 267, 44, 27, 3, 15, 0, 1, 27, 17, 6, 3, 1, 2154, 35, Arizona, 125, 37, 208, 21, 15, 9, 123, 0, 0, 13, 14, 5, 1, 1, 1446, 42
11/28/2014, Stanford, 202, 45, 234, 19, 16, 7, 65, 0, 0, 22, 14, 9, 0, 0, 2269, 31, UCLA, 100, 26, 162, 41, 20, 4, 38, 0, 1, 17, 14, 5, 4, 1, 1331, 10
11/28/2014, Colorado State, 106, 32, 366, 46, 23, 2, 14, 0, 1, 24, 15, 6, 1, 0, 1745, 24, Air Force, 242, 63, 135, 15, 6, 1, 15, 0, 0, 22, 18, 9, 1, 1, 1855, 27
11/28/2014, Virginia, 38, 35, 276, 38, 18, 9, 75, 0, 1, 15, 18, 4, 2, 0, 1767, 20, Virginia Tech, 198, 40, 235, 35, 15, 8, 71, 0, 1, 21, 18, 8, 0, 0, 1833, 24
