Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
09/13/2014, Arkansas, 438, 68, 61, 12, 6, 2, 15, 0, 0, 32, 12, 8, 2, 2, 2439, 49, Texas Tech, 101, 22, 252, 45, 27, 5, 60, 0, 2, 20, 14, 8, 1, 0, 1161, 28
09/13/2014, Iowa State, 82, 26, 255, 36, 25, 4, 50, 0, 0, 19, 11, 4, 1, 1, 1586, 20, Iowa, 129, 44, 146, 24, 16, 6, 50, 0, 1, 18, 16, 7, 3, 3, 2014, 17
09/13/2014, Georgia, 217, 38, 191, 22, 16, 7, 44, 0, 0, 18, 12, 5, 1, 1, 1713, 35, South Carolina, 176, 42, 271, 30, 21, 7, 69, 0, 1, 27, 9, 2, 1, 1, 1887, 38
09/13/2014, Louisiana-Lafayette, 193, 37, 129, 31, 15, 0, 0, 0, 3, 18, 14, 4, 0, 0, 1879, 15, Mississippi, 214, 35, 340, 36, 29, 4, 30, 0, 1, 27, 12, 7, 2, 2, 1721, 56
09/13/2014, Mississippi State, 288, 45, 226, 24, 16, 8, 70, 0, 0, 24, 14, 7, 1, 1, 1731, 35, South Alabama, 57, 27, 288, 55, 28, 3, 12, 0, 2, 22, 18, 8, 1, 0, 1869, 3
09/13/2014, Minnesota, 99, 39, 169, 29, 14, 4, 40, 0, 3, 14, 16, 3, 2, 2, 2065, 7, TCU, 169, 27, 258, 46, 27, 8, 72, 0, 1, 22, 12, 2, 0, 0, 1535, 30
09/13/2014, Illinois, 72, 26, 279, 30, 20, 11, 110, 0, 1, 15, 11, 1, 1, 1, 1547, 19, Washington, 245, 58, 219, 22, 16, 8, 73, 0, 0, 25, 16, 8, 2, 1, 2053, 44
09/13/2014, Army, 198, 56, 9, 5, 3, 2, 20, 0, 1, 12, 14, 4, 4, 2, 2016, 0, Stanford, 199, 32, 216, 28, 20, 3, 30, 0, 0, 21, 10, 6, 0, 0, 1584, 35
09/13/2014, Western Michigan, 243, 44, 241, 15, 10, 10, 93, 0, 0, 22, 11, 6, 2, 1, 1733, 45, Idaho, 45, 31, 362, 41, 27, 8, 79, 0, 1, 23, 17, 8, 3, 3, 1867, 33
09/13/2014, Southern Mississippi, 56, 18, 207, 37, 19, 6, 50, 0, 0, 13, 13, 3, 0, 0, 1520, 12, Alabama, 333, 49, 214, 24, 17, 3, 25, 0, 0, 31, 11, 7, 0, 0, 2080, 52
09/13/2014, Eastern Michigan, 143, 48, 72, 24, 12, 5, 47, 0, 0, 14, 18, 5, 1, 1, 1905, 3, Old Dominion, 180, 37, 187, 30, 17, 4, 45, 0, 1, 16, 15, 2, 3, 1, 1695, 17
09/13/2014, Northern Illinois, 331, 69, 285, 28, 18, 8, 86, 0, 0, 35, 19, 15, 0, 0, 1936, 48, UNLV, 102, 32, 397, 42, 24, 5, 32, 0, 1, 26, 17, 8, 2, 1, 1664, 34
09/13/2014, Western Kentucky, 125, 36, 593, 66, 43, 10, 92, 0, 1, 33, 21, 12, 1, 0, 1846, 47, Middle Tennessee, 323, 61, 218, 28, 17, 7, 62, 0, 0, 28, 18, 7, 2, 2, 1754, 50
09/13/2014, UTSA, 73, 35, 133, 29, 15, 5, 74, 0, 1, 11, 17, 3, 1, 0, 1827, 13, Oklahoma State, 162, 49, 315, 30, 16, 5, 45, 0, 0, 24, 19, 8, 0, 0, 1773, 43
09/13/2014, Wake Forest, -25, 24, 257, 50, 20, 10, 103, 0, 2, 16, 15, 3, 3, 1, 1520, 24, Utah State, 60, 35, 331, 44, 32, 8, 65, 0, 2, 23, 15, 5, 0, 0, 2080, 36
09/13/2014, Tulsa, 94, 27, 269, 52, 24, 5, 25, 0, 2, 24, 17, 7, 1, 1, 1555, 21, Florida Atlantic, 177, 42, 341, 23, 18, 4, 37, 0, 0, 18, 15, 5, 0, 0, 2045, 50
09/13/2014, Louisiana-Monroe, 16, 18, 77, 30, 16, 5, 45, 0, 0, 6, 14, 4, 0, 0, 1502, 0, LSU, 219, 52, 153, 20, 12, 6, 54, 0, 1, 22, 14, 7, 1, 1, 2098, 31
09/13/2014, Abilene Christian, 181, 40, 312, 34, 25, 7, 60, 0, 2, 26, 14, 6, 0, 0, 2026, 38, Troy, 131, 29, 286, 38, 21, 10, 108, 0, 0, 17, 17, 9, 1, 1, 1574, 35
09/13/2014, Kentucky, 81, 33, 369, 45, 24, 8, 61, 0, 3, 23, 16, 6, 0, 0, 1581, 30, Florida, 237, 50, 295, 44, 25, 8, 78, 0, 1, 28, 17, 5, 1, 1, 2019, 36
09/13/2014, Purdue, 56, 26, 234, 40, 27, 5, 41, 0, 2, 17, 15, 6, 3, 1, 1620, 14, Notre Dame, 139, 38, 259, 40, 25, 7, 43, 0, 0, 27, 17, 8, 0, 0, 1980, 30
09/13/2014, Penn State, 64, 33, 309, 44, 25, 5, 40, 0, 1, 19, 20, 9, 0, 0, 2003, 13, Rutgers, 102, 31, 192, 31, 15, 9, 75, 0, 5, 15, 14, 5, 1, 0, 1597, 10
09/13/2014, New Mexico State, 90, 21, 335, 41, 23, 4, 17, 0, 2, 20, 12, 5, 1, 1, 1234, 24, UTEP, 344, 58, 126, 16, 13, 5, 43, 0, 1, 26, 10, 7, 0, 0, 2366, 42
09/13/2014, USC, 20, 29, 317, 41, 31, 3, 20, 0, 0, 18, 16, 5, 0, 0, 1686, 31, Boston College, 452, 54, 54, 14, 5, 2, 25, 0, 1, 19, 11, 2, 0, 0, 1914, 37
09/13/2014, Southeastern Louisiana, 58, 36, 213, 35, 16, 15, 142, 0, 2, 17, 16, 4, 4, 1, 1741, 20, Tulane, 122, 40, 238, 30, 14, 11, 87, 0, 2, 21, 14, 6, 1, 0, 1859, 35
09/13/2014, Tennessee, 112, 33, 201, 44, 21, 1, 10, 0, 2, 18, 17, 6, 1, 0, 1884, 10, Oklahoma, 146, 34, 308, 33, 20, 5, 41, 0, 1, 21, 12, 3, 1, 0, 1716, 34
09/13/2014, Navy, 352, 57, 117, 7, 5, 4, 50, 0, 1, 17, 12, 8, 2, 0, 1938, 35, Texas State, 211, 44, 231, 36, 24, 11, 124, 0, 1, 23, 15, 5, 3, 2, 1662, 21
09/13/2014, Portland State, 93, 33, 269, 51, 31, 6, 49, 0, 1, 23, 18, 8, 1, 1, 1890, 21, Washington State, 76, 23, 630, 64, 43, 7, 70, 0, 2, 33, 12, 7, 1, 0, 1710, 59
09/13/2014, UCLA, 217, 47, 226, 34, 27, 4, 51, 0, 0, 24, 17, 6, 2, 2, 1872, 20, Texas, 126, 30, 196, 34, 24, 7, 50, 0, 0, 14, 14, 5, 2, 1, 1728, 17
09/13/2014, Rice, 240, 55, 241, 36, 24, 8, 66, 0, 0, 28, 21, 10, 1, 0, 2594, 10, Texas A&M, 168, 26, 309, 33, 21, 6, 60, 0, 1, 23, 8, 3, 0, 0, 1006, 38
09/13/2014, Arizona State, 223, 35, 203, 25, 15, 8, 59, 0, 0, 18, 13, 4, 1, 1, 1514, 38, Colorado, 232, 37, 313, 54, 35, 8, 75, 0, 2, 28, 18, 8, 4, 1, 2086, 24
09/13/2014, Nebraska, 280, 42, 282, 24, 14, 6, 61, 0, 0, 22, 15, 6, 0, 0, 1840, 55, Fresno State, 105, 28, 241, 59, 30, 5, 55, 0, 0, 20, 23, 6, 1, 1, 1760, 19
09/13/2014, Nevada, 108, 40, 321, 39, 29, 8, 74, 0, 0, 25, 16, 8, 2, 1, 2148, 28, Arizona, 229, 38, 278, 26, 22, 7, 47, 0, 1, 26, 9, 5, 2, 1, 1452, 35
09/14/2014, Northern Iowa, 55, 36, 265, 42, 19, 2, 10, 0, 0, 17, 19, 4, 1, 1, 1843, 24, Hawai'i, 148, 50, 225, 36, 17, 5, 45, 0, 0, 17, 21, 4, 3, 2, 1757, 27
