Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
11/11/2014, Akron, 68, 30, 161, 35, 19, 9, 98, 0, 0, 15, 15, 6, 3, 2, 1437, 24, Buffalo, 310, 54, 226, 23, 17, 7, 75, 0, 1, 30, 12, 9, 2, 1, 2163, 55
11/11/2014, Toledo, 263, 49, 209, 23, 12, 3, 20, 0, 0, 20, 15, 4, 2, 0, 1823, 24, Northern Illinois, 226, 46, 190, 22, 14, 5, 34, 0, 0, 17, 15, 3, 2, 1, 1777, 27
11/12/2014, Ball State, 69, 30, 217, 38, 24, 4, 46, 0, 2, 14, 17, 4, 2, 2, 1709, 10, Massachusetts, 145, 40, 424, 44, 28, 7, 49, 0, 2, 27, 16, 6, 4, 1, 1891, 24
11/12/2014, Kent State, 22, 14, 306, 47, 27, 6, 62, 0, 4, 21, 11, 3, 1, 1, 1546, 20, Bowling Green, 207, 60, 315, 36, 22, 10, 66, 0, 1, 27, 22, 12, 0, 0, 2054, 30
11/13/2014, East Carolina, 154, 32, 425, 62, 35, 5, 38, 0, 0, 30, 19, 10, 0, 0, 1842, 46, Cincinnati, 150, 33, 436, 45, 29, 8, 64, 0, 3, 29, 14, 5, 2, 1, 1758, 54
11/13/2014, Southern Mississippi, 57, 25, 257, 34, 21, 7, 62, 0, 1, 17, 11, 3, 1, 0, 1474, 10, UTSA, 169, 37, 175, 44, 27, 8, 58, 0, 1, 23, 19, 6, 3, 3, 2126, 12
11/13/2014, California, 105, 31, 279, 48, 29, 10, 102, 0, 0, 27, 15, 3, 6, 5, 1732, 30, USC, 79, 35, 371, 42, 31, 14, 159, 0, 1, 27, 16, 9, 2, 2, 1868, 38
11/14/2014, Tulsa, 129, 27, 72, 29, 10, 6, 64, 0, 3, 11, 12, 3, 1, 0, 1378, 7, UCF, 215, 53, 291, 29, 16, 1, 5, 0, 1, 26, 18, 8, 3, 2, 2222, 31
11/15/2014, Ohio State, 289, 38, 200, 25, 15, 4, 49, 0, 1, 22, 13, 9, 0, 0, 1754, 31, Minnesota, 218, 44, 85, 20, 7, 7, 54, 0, 2, 17, 14, 5, 1, 1, 1846, 24
11/15/2014, Temple, 61, 20, 187, 38, 17, 10, 69, 0, 4, 8, 16, 3, 1, 0, 1458, 13, Penn State, 254, 47, 112, 26, 12, 5, 45, 0, 2, 19, 13, 4, 1, 1, 2142, 30
11/15/2014, Clemson, 125, 32, 65, 22, 12, 3, 21, 0, 3, 10, 13, 3, 0, 0, 1477, 6, Georgia Tech, 251, 50, 102, 11, 8, 2, 10, 0, 0, 16, 14, 7, 1, 0, 2095, 28
11/15/2014, Virginia Tech, 145, 49, 148, 24, 13, 7, 75, 0, 1, 16, 15, 2, 2, 0, 1797, 17, Duke, 141, 41, 185, 41, 19, 8, 50, 0, 2, 23, 18, 5, 2, 1, 1803, 16
11/15/2014, Army, 293, 57, 40, 6, 3, 3, 20, 0, 0, 18, 13, 6, 2, 0, 1893, 24, Western Kentucky, 383, 41, 178, 25, 16, 7, 80, 0, 0, 22, 14, 8, 1, 1, 1707, 52
11/15/2014, Iowa, 304, 55, 283, 24, 17, 1, 10, 0, 0, 26, 15, 10, 3, 0, 2146, 30, Illinois, 88, 25, 147, 31, 17, 8, 59, 0, 0, 12, 16, 6, 1, 1, 1454, 14
11/15/2014, South Carolina, 95, 38, 206, 42, 22, 6, 67, 0, 0, 19, 18, 8, 3, 0, 1890, 23, Florida, 218, 49, 60, 11, 5, 10, 75, 0, 0, 16, 14, 3, 0, 0, 1710, 20
11/15/2014, Pittsburgh, 305, 53, 218, 16, 11, 5, 47, 0, 0, 23, 12, 6, 1, 1, 2130, 35, North Carolina, 226, 43, 276, 40, 23, 6, 41, 0, 0, 30, 16, 9, 2, 2, 1470, 40
11/15/2014, Miami (Ohio), 102, 27, 369, 41, 24, 5, 37, 0, 0, 28, 11, 5, 1, 0, 1760, 27, Central Michigan, 209, 40, 218, 23, 16, 5, 38, 0, 1, 23, 8, 4, 0, 0, 1840, 34
11/15/2014, Nevada, 223, 45, 275, 36, 24, 4, 42, 0, 1, 27, 17, 9, 5, 3, 1845, 38, Air Force, 342, 65, 129, 15, 11, 5, 48, 0, 0, 28, 15, 9, 2, 2, 1755, 45
