Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
10/21/2014, Arkansas State, 253, 37, 342, 39, 27, 7, 51, 0, 1, 22, 17, 4, 6, 5, 1661, 40, Louisiana-Lafayette, 419, 56, 102, 17, 9, 9, 83, 0, 0, 25, 13, 6, 1, 1, 1939, 55
10/23/2014, Connecticut, 84, 26, 313, 32, 20, 12, 118, 0, 1, 16, 12, 3, 1, 1, 1464, 21, East Carolina, 135, 35, 445, 65, 39, 11, 105, 0, 1, 31, 20, 9, 5, 3, 2136, 31
10/23/2014, Miami (Florida), 364, 53, 92, 16, 7, 4, 28, 0, 0, 22, 15, 7, 2, 1, 2108, 30, Virginia Tech, 120, 31, 142, 28, 18, 4, 40, 0, 0, 15, 12, 3, 1, 1, 1492, 6
10/24/2014, South Florida, 42, 22, 239, 33, 20, 7, 95, 0, 2, 12, 13, 5, 0, 0, 1397, 17, Cincinnati, 273, 50, 317, 37, 27, 4, 37, 0, 0, 31, 16, 6, 3, 3, 2203, 34
10/24/2014, Troy, 164, 40, 145, 24, 13, 10, 100, 0, 0, 19, 15, 4, 1, 1, 1743, 13, South Alabama, 296, 45, 106, 21, 9, 8, 78, 0, 0, 23, 11, 4, 1, 0, 1857, 27
10/24/2014, BYU, 63, 26, 259, 38, 23, 7, 70, 0, 1, 17, 14, 5, 1, 0, 1414, 30, Boise State, 227, 48, 410, 31, 24, 8, 70, 0, 1, 28, 13, 7, 0, 0, 2186, 55
10/24/2014, Oregon, 264, 46, 326, 30, 18, 10, 106, 0, 1, 27, 17, 10, 2, 2, 1595, 59, California, 193, 38, 367, 55, 33, 11, 111, 0, 0, 30, 16, 6, 5, 3, 2005, 41
10/25/2014, UAB, 133, 42, 62, 18, 6, 2, 10, 0, 1, 12, 14, 4, 3, 0, 1502, 17, Arkansas, 273, 46, 211, 26, 16, 2, 9, 0, 0, 24, 13, 6, 1, 1, 2098, 45
10/25/2014, Memphis, 230, 53, 352, 27, 20, 8, 69, 0, 0, 29, 10, 3, 4, 2, 1949, 48, SMU, 137, 31, 114, 33, 13, 7, 60, 0, 2, 15, 18, 7, 3, 2, 1651, 10
10/25/2014, Texas, 90, 27, 106, 25, 13, 7, 66, 0, 0, 12, 13, 4, 1, 0, 1246, 0, Kansas State, 143, 43, 224, 30, 19, 3, 25, 0, 0, 22, 17, 9, 1, 1, 2354, 23
10/25/2014, Minnesota, 171, 41, 240, 30, 12, 4, 30, 0, 1, 19, 16, 4, 2, 1, 1709, 24, Illinois, 123, 41, 140, 23, 15, 4, 36, 0, 0, 16, 14, 4, 1, 1, 1891, 28
10/25/2014, Maryland, 46, 28, 129, 29, 13, 7, 45, 0, 0, 10, 15, 3, 2, 0, 1479, 7, Wisconsin, 311, 49, 216, 23, 15, 2, 20, 0, 0, 25, 14, 6, 2, 2, 2121, 52
10/25/2014, Rutgers, 143, 38, 205, 26, 12, 4, 26, 0, 1, 15, 12, 4, 1, 0, 1832, 24, Nebraska, 292, 41, 163, 22, 14, 5, 35, 0, 1, 21, 13, 8, 0, 0, 1768, 42
10/25/2014, North Texas, 26, 33, 190, 34, 16, 4, 40, 0, 1, 16, 16, 5, 3, 1, 1480, 21, Rice, 188, 46, 233, 26, 13, 4, 50, 0, 0, 20, 16, 8, 1, 0, 2120, 41
10/25/2014, North Carolina, 99, 34, 275, 29, 16, 5, 45, 0, 1, 20, 14, 5, 1, 0, 1345, 28, Virginia, 159, 43, 284, 41, 21, 8, 83, 0, 2, 26, 18, 9, 1, 1, 2255, 27
10/25/2014, Northern Illinois, 332, 44, 54, 17, 10, 3, 37, 0, 0, 18, 12, 5, 2, 1, 1556, 28, Eastern Michigan, 257, 48, 124, 34, 16, 8, 80, 0, 1, 25, 18, 10, 1, 0, 2044, 17
10/25/2014, San Jose State, 100, 25, 322, 46, 33, 2, 20, 0, 1, 26, 14, 8, 1, 1, 1759, 31, Navy, 423, 68, 56, 8, 4, 0, 0, 0, 0, 28, 12, 7, 1, 1, 1841, 41
10/25/2014, Ohio, 88, 36, 284, 36, 20, 6, 48, 0, 1, 18, 15, 6, 0, 0, 1649, 21, Western Michigan, 186, 42, 344, 28, 22, 3, 36, 0, 2, 24, 12, 5, 0, 0, 1951, 42
10/25/2014, Massachusetts, 52, 20, 445, 57, 29, 9, 75, 0, 2, 26, 14, 6, 5, 4, 1559, 35, Toledo, 295, 49, 225, 34, 20, 9, 81, 0, 2, 30, 16, 9, 1, 1, 2041, 42
10/25/2014, Akron, 125, 34, 200, 39, 21, 7, 45, 0, 4, 20, 15, 5, 3, 2, 1809, 21, Ball State, 155, 40, 225, 36, 18, 3, 20, 0, 0, 22, 15, 5, 1, 1, 1791, 35
10/25/2014, Georgia Southern, 613, 63, 47, 6, 5, 5, 39, 0, 0, 30, 8, 7, 0, 0, 2119, 69, Georgia State, 47, 23, 408, 38, 24, 6, 40, 0, 1, 21, 9, 4, 1, 1, 1481, 31
10/25/2014, UCLA, 309, 37, 200, 39, 24, 14, 121, 0, 0, 21, 15, 3, 1, 0, 1495, 40, Colorado, 233, 45, 267, 46, 28, 6, 50, 0, 2, 31, 16, 3, 2, 2, 2105, 37
10/25/2014, Kent State, 79, 27, 206, 40, 22, 3, 17, 0, 1, 18, 13, 2, 3, 1, 1787, 3, Miami (Ohio), 167, 33, 120, 28, 11, 8, 62, 0, 0, 15, 14, 4, 1, 0, 1813, 10
10/25/2014, Georgia Tech, 465, 64, 147, 12, 5, 3, 15, 0, 0, 27, 12, 6, 2, 1, 2012, 56, Pittsburgh, 198, 31, 328, 35, 23, 2, 15, 0, 0, 19, 12, 8, 1, 0, 1588, 28
10/25/2014, Central Michigan, 110, 49, 231, 24, 14, 8, 49, 0, 1, 21, 14, 6, 4, 3, 2185, 20, Buffalo, 38, 22, 233, 37, 21, 3, 40, 0, 2, 15, 13, 5, 3, 1, 1415, 14
10/25/2014, Oregon State, 12, 29, 209, 38, 18, 8, 67, 0, 0, 12, 16, 4, 3, 1, 1685, 14, Stanford, 151, 35, 287, 30, 19, 3, 20, 0, 2, 22, 12, 5, 0, 0, 1915, 38
10/25/2014, West Virginia, 210, 44, 238, 30, 21, 7, 57, 0, 0, 22, 18, 9, 0, 0, 2019, 34, Oklahoma State, 194, 39, 242, 41, 21, 4, 30, 0, 2, 23, 15, 2, 5, 1, 1581, 10
10/25/2014, Texas Tech, 101, 28, 345, 41, 20, 6, 69, 0, 2, 21, 12, 4, 1, 0, 1521, 27, TCU, 305, 41, 480, 45, 27, 10, 77, 0, 0, 32, 16, 8, 0, 0, 2079, 82
10/25/2014, Boston College, 202, 44, 165, 15, 11, 7, 54, 0, 0, 20, 9, 2, 0, 0, 1778, 23, Wake Forest, 19, 33, 242, 30, 22, 6, 49, 0, 1, 17, 13, 4, 2, 1, 1822, 17
10/25/2014, Florida Atlantic, 209, 53, 179, 37, 19, 3, 45, 0, 0, 26, 19, 7, 3, 1, 2191, 16, Marshall, 328, 35, 218, 24, 13, 6, 60, 0, 0, 20, 12, 5, 1, 0, 1409, 35
10/25/2014, Louisiana Tech, 30, 26, 423, 46, 27, 4, 40, 0, 0, 23, 11, 5, 0, 0, 1716, 31, Southern Mississippi, -31, 26, 379, 49, 32, 9, 83, 0, 2, 22, 18, 7, 1, 1, 1884, 20
10/25/2014, Michigan, 61, 26, 125, 31, 15, 4, 27, 0, 2, 13, 14, 5, 1, 0, 1574, 11, Michigan State, 219, 46, 227, 22, 12, 8, 88, 0, 0, 22, 12, 6, 1, 0, 2026, 35
10/25/2014, Mississippi State, 326, 51, 216, 33, 18, 2, 20, 0, 1, 30, 16, 8, 1, 0, 2069, 45, Kentucky, 103, 32, 401, 44, 25, 3, 25, 0, 0, 23, 14, 5, 2, 0, 1531, 31
10/25/2014, Vanderbilt, 44, 27, 196, 31, 17, 5, 41, 0, 1, 18, 11, 4, 0, 0, 1731, 14, Missouri, 244, 46, 141, 23, 11, 14, 100, 0, 0, 20, 16, 9, 1, 1, 1869, 24
10/25/2014, Old Dominion, 172, 34, 471, 40, 27, 5, 51, 0, 2, 29, 13, 8, 2, 2, 1927, 51, Western Kentucky, 230, 45, 371, 26, 23, 3, 40, 0, 0, 32, 8, 5, 0, 0, 1673, 66
10/25/2014, UNLV, 15, 27, 267, 38, 22, 4, 35, 0, 2, 13, 16, 3, 3, 1, 1582, 20, Utah State, 178, 47, 266, 29, 16, 7, 60, 0, 0, 18, 17, 6, 2, 0, 2018, 34
10/25/2014, Temple, 32, 21, 150, 36, 20, 8, 68, 0, 3, 10, 13, 3, 2, 0, 1274, 14, UCF, 130, 47, 336, 39, 25, 5, 60, 0, 0, 27, 20, 11, 2, 1, 2326, 34
10/25/2014, Arizona, 157, 36, 294, 38, 26, 8, 89, 0, 0, 25, 13, 7, 1, 1, 1536, 59, Washington State, 54, 20, 489, 79, 56, 11, 85, 0, 2, 33, 18, 7, 4, 1, 2064, 37
10/25/2014, Wyoming, 119, 38, 335, 38, 24, 7, 53, 0, 0, 25, 15, 7, 2, 1, 2163, 31, Colorado State, 147, 30, 411, 24, 20, 9, 87, 0, 0, 24, 8, 5, 1, 0, 1437, 45
10/25/2014, UTEP, 160, 46, 191, 18, 12, 6, 50, 0, 0, 15, 16, 7, 0, 0, 2352, 34, UTSA, 38, 26, 32, 20, 6, 4, 29, 0, 1, 2, 14, 1, 1, 0, 1248, 0
10/25/2014, Syracuse, 88, 34, 82, 28, 12, 5, 30, 0, 2, 10, 16, 3, 1, 1, 1506, 6, Clemson, 166, 48, 209, 35, 24, 2, 15, 0, 2, 23, 17, 6, 1, 1, 2094, 16
10/25/2014, Texas State, 229, 46, 141, 20, 14, 6, 55, 0, 0, 17, 14, 3, 3, 2, 1573, 22, Louisiana-Monroe, 144, 42, 250, 40, 25, 5, 34, 0, 1, 20, 19, 7, 3, 2, 2027, 18
