Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/30/2007,Miami-Ohio,14,Ball State,13,4.0
08/30/2007,Buffalo,3,Rutgers,38,32.0
08/30/2007,Louisiana State,45,Mississippi State,0,-20.0
08/30/2007,Kent State,23,Iowa State,14,3.5
08/30/2007,Nevada-Las Vegas,23,Utah State,16,-6.5
08/30/2007,Utah,7,Oregon State,24,6.0
08/30/2007,Tulsa,35,UL-Monroe,17,-3.5
08/30/2007,S E Missouri St,3,Cincinnati,59, 
08/30/2007,Murray State,10,Louisville,73, 
08/30/2007,S E Louisiana,14,New Mexico State,35, 
08/30/2007,Weber State,7,Boise State,56, 
08/31/2007,Navy,30,Temple,19,-21.0
08/31/2007,Washington,42,Syracuse,12,-3.0
09/01/2007,Western Michigan,24,West Virginia,62,24.0
09/01/2007,East Carolina,7,Virginia Tech,17,28.0
09/01/2007,Marshall,3,Miami-Florida,31,18.0
09/01/2007,U-A-B,18,Michigan State,55,24.0
09/01/2007,Connecticut,45,Duke,14,-4.5
09/01/2007,Virginia,3,Wyoming,23,-3.0
09/01/2007,Nevada-Reno,10,Nebraska,52,21.0
09/01/2007,Mississippi,23,Memphis,21,-2.5
09/01/2007,Iowa,16,Northern Illinois,3,-12.5
09/01/2007,Houston,27,Oregon,48,17.0
09/01/2007,Washington State,21,Wisconsin,42,14.5
09/01/2007,Georgia Tech,33,Notre Dame,3,1.0
09/01/2007,Missouri,40,Illinois,34,-5.5
09/01/2007,U.C.L.A.,45,Stanford,17,-16.5
09/01/2007,Wake Forest,28,Boston College,38,5.5
09/01/2007,Arizona,7,Brigham Young,20,3.5
09/01/2007,Army,14,Akron,22,6.0
09/01/2007,U-C-F,25,No Carolina State,23,8.0
09/01/2007,Baylor,0,Texas Christian,27,21.0
09/01/2007,Oklahoma State,14,Georgia,35,6.5
09/01/2007,Central Michigan,7,Kansas,52,7.5
09/01/2007,Colorado State,28,Colorado,31,2.5
09/01/2007,Eastern Michigan,3,Pittsburgh,27,20.5
09/01/2007,Purdue,52,Toledo,24,-6.0
09/01/2007,Kansas State,13,Auburn,23,13.0
09/01/2007,Bowling Green,32,Minnesota,31,14.5
09/01/2007,Tennessee,31,California,45,7.0
09/01/2007,New Mexico,6,UTEP,10,-3.5
09/01/2007,San Jose State,3,Arizona State,45,16.5
09/01/2007,Idaho,10,Southern Cal,38,46.5
09/01/2007,Florida Intl,0,Penn State,59,36.5
09/01/2007,Arkansas State,13,Texas,21,39.5
09/01/2007,North Texas,10,Oklahoma,79,40.0
09/01/2007,UL-Lafayette,14,South Carolina,28,29.0
09/01/2007,Troy,26,Arkansas,46,23.5
09/01/2007,Middle Tennessee,14,Florida Atlantic,27,2.5
09/01/2007,Appalachian State,34,Michigan,32, 
09/01/2007,Northeastern,0,Northwestern,27, 
09/01/2007,Youngstown State,6,Ohio State,38, 
09/01/2007,So Carolina State,3,Air Force,34, 
09/01/2007,Eastern Kentucky,10,Kentucky,50, 
09/01/2007,James Madison,14,North Carolina,37, 
09/01/2007,Villanova,14,Maryland,31, 
09/01/2007,Western Kentucky,3,Florida,49, 
09/01/2007,Central Arkansas,7,Louisiana Tech,28, 
09/01/2007,Gardner-Webb,14,Ohio,36, 
09/01/2007,Montana State,7,Texas A+M,38, 
09/01/2007,Richmond,17,Vanderbilt,41, 
09/01/2007,Tennessee-Martin,13,Southern Miss,35, 
09/01/2007,Indiana State,7,Indiana,55, 
09/01/2007,Nicholls State,16,Rice,14, 
09/01/2007,Sacramento State,3,Fresno State,24, 
09/01/2007,Elon,13,South Florida,28, 
09/01/2007,Western Carolina,6,Alabama,52, 
09/01/2007,Northern Colorado,6,Hawaii,63, 
09/03/2007,Texas Tech,49,S-M-U,9,-9.0
09/03/2007,Florida State,18,Clemson,24,-3.5
09/06/2007,Oregon State,3,Cincinnati,34,-3.0
09/06/2007,Middle Tennessee,42,Louisville,58,41.0
09/07/2007,Navy,24,Rutgers,41,16.5
09/08/2007,West Virginia,48,Marshall,23,-25.5
09/08/2007,Nevada-Reno,31,Northwestern,36,11.0
09/08/2007,Nebraska,20,Wake Forest,17,-9.0
09/08/2007,Miami-Florida,13,Oklahoma,51,11.0
09/08/2007,Miami-Ohio,35,Minnesota,41,8.5
09/08/2007,Buffalo,42,Temple,7,3.5
09/08/2007,Akron,2,Ohio State,20,28.0
09/08/2007,Duke,13,Virginia,24,18.0
09/08/2007,Alabama,24,Vanderbilt,10,-4.0
09/08/2007,Toledo,31,Central Michigan,52,3.0
09/08/2007,Bowling Green,17,Michigan State,28,18.0
09/08/2007,Rice,17,Baylor,42,7.5
09/08/2007,Utah State,18,Wyoming,32,25.0
09/08/2007,San Jose State,14,Kansas State,34,20.0
09/08/2007,California,34,Colorado State,28,-14.0
09/08/2007,Missouri,38,Mississippi,25,-6.0
09/08/2007,No Carolina State,17,Boston College,37,14.0
09/08/2007,Ball State,38,Eastern Michigan,16,-3.5
09/08/2007,Oregon,39,Michigan,7,7.5
09/08/2007,Boise State,10,Washington,24,-3.0
09/08/2007,Fresno State,45,Texas A+M,47,17.5
09/08/2007,U-A-B,24,Florida State,34,37.0
09/08/2007,South Carolina,16,Georgia,12,3.5
09/08/2007,Notre Dame,10,Penn State,31,18.0
09/08/2007,Air Force,20,Utah,12,7.5
09/08/2007,North Carolina,31,East Carolina,34,5.5
09/08/2007,Brigham Young,17,U.C.L.A.,27,8.5
09/08/2007,Southern Miss,19,Tennessee,39,11.5
09/08/2007,Texas Christian,13,Texas,34,7.5
09/08/2007,Mississippi State,38,Tulane,17,-6.0
