Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/26/2000,Iowa,7,Kansas State,27,29.0
08/26/2000,Brigham Young,3,Florida State,29,25.0
08/26/2000,Miss Valley State,10,Louisiana Tech,63, 
08/26/2000,New Mexico,3,Texas Tech,24,15.5
08/27/2000,Southern Cal,29,Penn State,5,3.5
08/31/2000,McNeese State,14,Miami-Florida,61, 
08/31/2000,S E Missouri St,7,Marshall,63, 
08/31/2000,Appalachian State,20,Wake Forest,16, 
08/31/2000,Northern Illinois,17,Northwestern,35,7.0
08/31/2000,Western Michigan,7,Wisconsin,19,32.0
08/31/2000,Wyoming,21,Auburn,35,11.0
08/31/2000,Baylor,20,North Texas,7,-5.5
08/31/2000,Arizona State,10,San Diego State,7,-4.0
09/02/2000,Akron,23,Virginia Tech,52,31.0
09/02/2000,Boston College,14,West Virginia,34,1.5
09/02/2000,UL-Monroe,10,Minnesota,47,29.5
09/02/2000,Toledo,24,Penn State,6,19.0
09/02/2000,Bowling Green,7,Michigan,42,31.0
09/02/2000,Fresno State,10,Ohio State,43,18.0
09/02/2000,Ohio,15,Iowa State,25,13.5
09/02/2000,Tulane,20,Mississippi,49,20.0
09/02/2000,Texas A+M,10,Notre Dame,24,2.5
09/02/2000,San Jose State,13,Nebraska,49,49.5
09/02/2000,Central Michigan,0,Purdue,48,37.0
09/02/2000,Northridge State,6,Air Force,55, 
09/02/2000,Houston,27,Rice,30,1.0
09/02/2000,Alabama,24,U.C.L.A.,35,-6.5
09/02/2000,Brigham Young,38,Virginia,35,5.0
09/02/2000,Idaho,20,Washington,44,23.5
09/02/2000,Kent State,7,Pittsburgh,30,27.0
09/02/2000,Mississippi State,17,Memphis,3,-5.5
09/02/2000,Middle Tennessee,6,Illinois,35,35.0
09/02/2000,Nevada-Reno,7,Oregon,36,32.5
09/02/2000,Ball State,19,Florida,40,44.5
09/02/2000,The Citadel,0,Clemson,38, 
09/02/2000,Colorado State,28,Colorado,24,4.5
09/02/2000,East Carolina,38,Duke,0,-11.0
09/02/2000,Georgia Southern,7,Georgia,29, 
09/02/2000,Tulsa,9,North Carolina,30,16.0
09/02/2000,Villanova,21,Rutgers,34, 
09/02/2000,Eastern Washington,19,Oregon State,21, 
09/02/2000,Arkansas State,31,No Carolina State,38,17.0
09/02/2000,Buffalo,7,Syracuse,63,44.5
09/02/2000,U-C-F,17,Georgia Tech,21,15.5
09/02/2000,Connecticut,25,Eastern Michigan,32,21.0
09/02/2000,Kansas,17,S-M-U,31,-5.5
09/02/2000,Kentucky,34,Louisville,40,-6.0
09/02/2000,Miami-Ohio,33,Vanderbilt,30,9.0
09/02/2000,New Mexico State,0,South Carolina,31,8.0
09/02/2000,Southern Miss,16,Tennessee,19,11.5
09/02/2000,Missouri State,0,Arkansas,38, 
09/02/2000,Temple,17,Navy,6,10.5
09/02/2000,Utah State,16,Texas Tech,38,21.0
09/02/2000,Louisiana Tech,10,Kansas State,54,28.0
09/02/2000,UTEP,14,Oklahoma,55,26.0
09/02/2000,Western Illinois,20,Missouri,50, 
09/02/2000,Boise State,31,New Mexico,14,-1.5
09/02/2000,Sam Houston State,21,UL-Lafayette,14, 
09/02/2000,Western Carolina,0,Louisiana State,58, 
09/02/2000,Arizona,17,Utah,3,2.5
09/02/2000,Stanford,24,Washington State,10,-3.0
09/04/2000,Army,17,Cincinnati,23,12.0
09/07/2000,Chattanooga,15,U-A-B,20, 
09/07/2000,Virginia Tech,45,East Carolina,28,-5.5
09/09/2000,Boston College,55,Army,17,-6.5
09/09/2000,North Carolina,35,Wake Forest,14,-10.0
09/09/2000,Louisiana Tech,7,Penn State,67,15.0
09/09/2000,No Carolina State,41,Indiana,38,7.5
09/09/2000,Rice,7,Michigan,38,27.0
09/09/2000,UL-Lafayette,10,Texas,52,47.0
09/09/2000,Vanderbilt,10,Alabama,28,21.0
09/09/2000,Akron,7,Central Michigan,17,-6.5
09/09/2000,Auburn,35,Mississippi,27,3.5
09/09/2000,Brigham Young,23,Air Force,31,-2.0
09/09/2000,Duke,5,Northwestern,38,13.0
09/09/2000,Marshall,24,Michigan State,34,8.5
09/09/2000,Miami-Ohio,34,Eastern Michigan,17,-10.0
09/09/2000,Western Illinois,24,Ball State,14, 
09/09/2000,South Florida,9,Kentucky,27, 
09/09/2000,Kent State,10,Purdue,45,43.0
09/09/2000,Nevada-Las Vegas,22,Iowa State,37,13.0
09/09/2000,Nebraska,27,Notre Dame,24,-13.5
09/09/2000,Ohio,23,Minnesota,17,20.0
09/09/2000,Miami-Florida,29,Washington,34,-1.5
09/09/2000,Missouri,9,Clemson,62,17.5
09/09/2000,Oregon,23,Wisconsin,27,7.0
09/09/2000,Richmond,6,Virginia,34, 
09/09/2000,Syracuse,10,Cincinnati,12,-7.5
09/09/2000,Montana,45,Idaho,38, 
09/09/2000,Pittsburgh,34,Bowling Green,16,-8.0
09/09/2000,Texas Christian,41,Nevada-Reno,10,-22.0
09/09/2000,East Tennessee St,7,Colorado State,41, 
09/09/2000,Buffalo,0,Rutgers,59,24.5
09/09/2000,Middle Tennessee,0,Florida,55,39.5
09/09/2000,Northwestern St(LA),7,U-C-F,19, 
09/09/2000,Temple,10,Maryland,17,10.0
09/09/2000,Utah,21,California,24,-1.5
09/09/2000,Western Michigan,27,Iowa,21,7.5
09/09/2000,Colgate,7,Connecticut,34, 
09/09/2000,Georgia,10,South Carolina,21,-10.0
09/09/2000,Grambling,0,Louisville,52, 
09/09/2000,North Texas,7,Texas Tech,13,30.5
09/09/2000,Oklahoma State,36,Tulsa,26,-13.5
09/09/2000,Weber State,0,Toledo,51, 
09/09/2000,Wyoming,3,Texas A+M,51,14.5
09/09/2000,Arkansas State,7,Oklahoma,45,32.0
09/09/2000,Fresno State,21,U.C.L.A.,24,14.5
09/09/2000,Illinois State,0,Northern Illinois,52, 
09/09/2000,Colorado,14,Southern Cal,17,7.0
09/09/2000,Florida State,26,Georgia Tech,21,-22.0
09/09/2000,Houston,13,Louisiana State,28,12.5
09/09/2000,UL-Monroe,0,Memphis,28,17.5
09/09/2000,Oregon State,28,New Mexico,20,-9.0
09/09/2000,Illinois,49,San Diego State,13,-7.0
09/09/2000,Northern Iowa,17,Boise State,42, 
09/09/2000,S-M-U,20,UTEP,37,-2.5
09/09/2000,Southern Utah,14,Utah State,30, 
09/09/2000,San Jose State,40,Stanford,27,18.0
09/09/2000,Ohio State,27,Arizona,17,-5.5
09/09/2000,Portland State,45,Hawaii,20, 
09/14/2000,Mississippi State,44,Brigham Young,28,-1.0
09/16/2000,Tulane,17,East Carolina,37,20.5
09/16/2000,Maryland,17,West Virginia,30,9.5
09/16/2000,Northwestern,14,Texas Christian,41,12.5
09/16/2000,Rutgers,0,Virginia Tech,49,34.5
09/16/2000,Southern Miss,21,Alabama,0,6.0
09/16/2000,California,15,Illinois,17,14.5
09/16/2000,Iowa State,24,Iowa,14,-2.5
09/16/2000,Miami-Ohio,16,Ohio State,27,23.0
09/16/2000,Minnesota,34,Baylor,9,-8.5
09/16/2000,Mississippi,12,Vanderbilt,7,-4.0
09/16/2000,Purdue,21,Notre Dame,23,-6.0
09/16/2000,Indiana,34,Kentucky,41,3.5
09/16/2000,Louisiana State,17,Auburn,34,7.0
09/16/2000,Cincinnati,25,Wisconsin,28,14.0
09/16/2000,Florida,27,Tennessee,23,-3.0
09/16/2000,Michigan,20,U.C.L.A.,23,-5.0
09/16/2000,Navy,13,Georgia Tech,40,16.0
09/16/2000,North Carolina,14,Florida State,63,25.0
09/16/2000,Penn State,0,Pittsburgh,12,-6.0
09/16/2000,Washington,17,Colorado,14,3.5
09/16/2000,Wake Forest,7,Clemson,55,32.0
09/16/2000,Central Michigan,10,Wyoming,31,13.0
09/16/2000,Bowling Green,14,Temple,31,9.0
09/16/2000,Indiana State,0,Western Michigan,56, 
09/16/2000,Virginia,26,Duke,10,-20.0
09/16/2000,Youngstown State,26,Kent State,20, 
09/16/2000,Idaho,13,Oregon,42,21.0
09/16/2000,Stephen F Austin,34,Louisiana Tech,31, 
09/16/2000,Boise State,31,Arkansas,38,13.5
09/16/2000,U-C-F,24,Akron,35,-2.0
09/16/2000,Connecticut,24,Buffalo,21,-14.0
09/16/2000,Eastern Illinois,26,Toledo,31, 
09/16/2000,Eastern Michigan,6,South Carolina,41,23.0
09/16/2000,Michigan State,13,Missouri,10,-11.0
09/16/2000,Memphis,19,Arkansas State,17,-7.0
09/16/2000,Murray State,28,Middle Tennessee,44, 
09/16/2000,Nicholls State,21,UL-Monroe,27, 
09/16/2000,S-M-U,0,No Carolina State,41,9.5
09/16/2000,UL-Lafayette,0,Texas Tech,26,32.0
09/16/2000,Tennessee Tech,14,Ohio,52, 
09/16/2000,U-A-B,20,Kansas,23,9.5
09/16/2000,Ball State,0,Kansas State,76,45.5
09/16/2000,Texas State,0,Oklahoma State,23, 
09/16/2000,Tulsa,23,Rice,16,9.5
09/16/2000,UTEP,17,Texas A+M,45,24.5
09/16/2000,Washington State,38,Utah,21,10.0
09/16/2000,Army,30,Houston,31,14.0
09/16/2000,New Mexico,16,New Mexico State,13,3.5
09/16/2000,Southern Utah,7,San Jose State,47, 
09/16/2000,Colorado State,10,Arizona State,13,-4.0
09/16/2000,North Texas,0,Nevada-Las Vegas,38,15.0
09/16/2000,San Diego State,3,Arizona,17,17.0
09/16/2000,Texas,24,Stanford,27,-13.0
09/21/2000,Georgia Tech,23,No Carolina State,30,2.5
09/23/2000,Navy,7,Boston College,48,19.5
09/23/2000,Notre Dame,21,Michigan State,27,4.5
09/23/2000,Syracuse,17,East Carolina,34,4.5
09/23/2000,Minnesota,24,Purdue,38,13.5
09/23/2000,Northwestern,47,Wisconsin,44,16.5
09/23/2000,Mississippi State,19,South Carolina,23,1.5
09/23/2000,Boise State,47,Central Michigan,10,-10.5
09/23/2000,Memphis,26,Army,16,-6.5
09/23/2000,New Mexico State,0,Georgia,37,29.0
09/23/2000,Iowa,13,Nebraska,42,41.5
09/23/2000,Northeastern,35,Connecticut,27, 
09/23/2000,Akron,23,Ohio,20,7.5
09/23/2000,Kent State,14,Miami-Ohio,45,22.5
09/23/2000,North Texas,10,Kansas State,55,52.0
09/23/2000,Rice,14,Oklahoma,42,33.0
09/23/2000,Nevada-Las Vegas,7,Brigham Young,10,9.5
09/23/2000,Clemson,31,Virginia,10,-9.5
09/23/2000,Kentucky,31,Florida,59,22.0
09/23/2000,Miami-Florida,47,West Virginia,10,-7.0
09/23/2000,Penn State,6,Ohio State,45,11.0
09/23/2000,Rutgers,17,Pittsburgh,29,19.0
09/23/2000,U.C.L.A.,10,Oregon,29,3.0
09/23/2000,UL-Monroe,3,Tennessee,70,36.5
09/23/2000,Idaho,38,Washington State,34,11.0
09/23/2000,Eastern Michigan,40,Temple,49,15.0
09/23/2000,Louisville,0,Florida State,31,34.0
09/23/2000,Marshall,15,North Carolina,20,3.0
09/23/2000,Middle Tennessee,27,Maryland,45,21.0
09/23/2000,Toledo,14,Western Michigan,21,-2.0
09/23/2000,William + Mary,7,U-C-F,52, 
09/23/2000,San Diego State,3,Oregon State,35,16.0
09/23/2000,San Jose State,24,Southern Cal,34,22.0
09/23/2000,Air Force,23,Utah,14,2.5
09/23/2000,Bowling Green,17,Buffalo,20,-21.5
09/23/2000,Cincinnati,6,Indiana,42,5.0
09/23/2000,Duke,7,Vanderbilt,26,17.0
09/23/2000,Houston,0,Texas,48,24.0
09/23/2000,Louisiana Tech,10,Tulsa,22,6.5
09/23/2000,Northern Illinois,14,Auburn,31,26.0
09/23/2000,South Florida,13,Baylor,28, 
09/23/2000,Southern Illinois,0,Kansas,42, 
09/23/2000,Tulane,29,S-M-U,17,1.5
09/23/2000,Arkansas State,3,Texas Christian,52,26.5
09/23/2000,Michigan,35,Illinois,31,-7.0
09/23/2000,Northern Arizona,28,New Mexico,35, 
09/23/2000,Northwestern St(LA),23,UL-Lafayette,21, 
09/23/2000,Southern Miss,28,Oklahoma State,6,-6.5
09/23/2000,U-A-B,13,Louisiana State,10,16.0
09/23/2000,Alabama,21,Arkansas,28,-2.5
09/23/2000,Nevada-Reno,35,Wyoming,28,20.5
09/23/2000,Hawaii,7,UTEP,39,8.5
09/23/2000,Utah State,20,Arizona State,44,21.5
09/23/2000,California,3,Fresno State,17,2.5
09/28/2000,West Virginia,29,Temple,24,-6.0
09/28/2000,Florida State,59,Maryland,7,-29.0
09/30/2000,Clemson,52,Duke,22,-36.0
09/30/2000,Illinois,10,Minnesota,44,0.0
09/30/2000,Purdue,20,Penn State,22,-13.0
09/30/2000,Texas Christian,24,Navy,0,-27.0
09/30/2000,Virginia Tech,48,Boston College,34,-14.0
09/30/2000,Wisconsin,10,Michigan,13,7.5
09/30/2000,Northwestern,37,Michigan State,17,12.0
09/30/2000,Virginia,27,Wake Forest,10,-17.0
09/30/2000,U-C-F,31,Eastern Michigan,10,-6.0
09/30/2000,Georgia Tech,42,North Carolina,28,3.0
09/30/2000,Ohio,10,Western Michigan,23,5.5
09/30/2000,Connecticut,22,Louisville,41,31.0
09/30/2000,Northern Illinois,43,Ball State,14,-10.5
09/30/2000,Texas Tech,15,Texas A+M,33,15.5
09/30/2000,Vanderbilt,0,Auburn,33,14.0
09/30/2000,Kansas,16,Oklahoma,34,23.5
09/30/2000,Missouri,24,Nebraska,42,34.0
09/30/2000,Oklahoma State,7,Texas,42,20.0
09/30/2000,Florida,35,Mississippi State,47,-7.5
09/30/2000,Rice,16,San Jose State,29,7.5
09/30/2000,South Carolina,17,Alabama,27,7.0
09/30/2000,UL-Lafayette,2,U-A-B,47,22.5
09/30/2000,Washington,16,Oregon,23,3.0
09/30/2000,Colorado State,45,Nevada-Reno,14,-16.0
09/30/2000,Arizona,27,Stanford,3,2.5
09/30/2000,Kansas State,44,Colorado,21,-7.0
09/30/2000,Utah,35,Utah State,14,-12.5
09/30/2000,Washington State,21,California,17,6.5
09/30/2000,Bowling Green,18,Kent State,11,4.5
09/30/2000,Cincinnati,19,Tulane,24,3.0
09/30/2000,Wyoming,10,New Mexico,45,-3.5
09/30/2000,Southern Cal,21,Oregon State,31,-5.5
09/30/2000,Air Force,13,Nevada-Las Vegas,34,-5.0
09/30/2000,Buffalo,14,Marshall,47,43.0
09/30/2000,Central Michigan,0,Toledo,41,22.0
