Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/23/2003,Grambling,0,San Jose State,29, 
08/23/2003,California,28,Kansas State,42,27.5
08/28/2003,Sacramento State,7,Oregon State,40, 
08/28/2003,Eastern Kentucky,13,Bowling Green,63, 
08/28/2003,East Tennessee St,21,Eastern Michigan,28, 
08/28/2003,S E Missouri St,3,Ohio,17, 
08/28/2003,Maryland,13,Northern Illinois,20,-8.0
08/28/2003,Miami-Florida,48,Louisiana Tech,9,-28.0
08/28/2003,Kent State,41,Akron,38,12.5
08/28/2003,Florida Atlantic,20,Middle Tennessee,19, 
08/28/2003,Indiana State,7,Ball State,31, 
08/28/2003,Utah State,20,Utah,40,18.0
08/28/2003,Georgia Tech,13,Brigham Young,24,4.0
08/29/2003,Toledo,18,Nevada-Las Vegas,28,-1.5
08/30/2003,Wake Forest,32,Boston College,28,10.5
08/30/2003,Temple,10,Penn State,23,23.0
08/30/2003,Duke,0,Virginia,27,14.0
08/30/2003,Georgia,30,Clemson,0,-3.5
08/30/2003,Wisconsin,24,West Virginia,17,-5.5
08/30/2003,Central Michigan,7,Michigan,45,34.0
08/30/2003,Miami-Ohio,3,Iowa,21,9.0
08/30/2003,Illinois,15,Missouri,22,4.0
08/30/2003,Indiana,10,Connecticut,34,6.0
08/30/2003,Mississippi,20,Vanderbilt,14,-13.0
08/30/2003,South Florida,17,Alabama,40,14.5
08/30/2003,Western Michigan,21,Michigan State,26,14.0
08/30/2003,Virginia Military,10,Navy,37, 
08/30/2003,Wofford,0,Air Force,49, 
08/30/2003,Tulsa,10,Minnesota,49,33.0
08/30/2003,Idaho,0,Washington State,25,26.0
08/30/2003,Oklahoma State,7,Nebraska,17,7.5
08/30/2003,Fresno State,6,Tennessee,24,19.0
08/30/2003,Montana State,10,Wyoming,21, 
08/30/2003,Southern Utah,23,Nevada-Reno,24, 
08/30/2003,Hofstra,21,Marshall,45, 
08/30/2003,San Jose State,3,Florida,65,23.5
08/30/2003,Southern Cal,23,Auburn,0,4.0
08/30/2003,Western Carolina,20,No Carolina State,59, 
08/30/2003,Southern Miss,2,California,34,3.5
08/30/2003,Buffalo,10,Rutgers,24,10.0
08/30/2003,Northwestern,28,Kansas,20,-7.0
08/30/2003,S-M-U,10,Texas Tech,58,23.0
08/30/2003,U-A-B,24,Baylor,19,-8.5
08/30/2003,UL-Lafayette,7,South Carolina,14,23.5
08/30/2003,North Texas,3,Oklahoma,37,30.0
08/30/2003,Arkansas State,11,Texas A+M,26,29.0
08/30/2003,Northern Iowa,10,Iowa State,17, 
08/30/2003,Troy,5,Kansas State,41,37.5
08/30/2003,Colorado,42,Colorado State,35,2.0
08/30/2003,Florida State,37,North Carolina,0,-16.5
08/30/2003,Washington,9,Ohio State,28,9.0
08/30/2003,Rice,14,Houston,48,3.0
08/30/2003,UL-Monroe,7,Louisiana State,49,34.5
08/30/2003,Texas State,8,New Mexico,72, 
08/30/2003,Tennessee Tech,10,Memphis,40, 
08/30/2003,Oregon,42,Mississippi State,34,-2.5
08/30/2003,Eastern Washington,9,San Diego State,19, 
08/30/2003,UTEP,7,Arizona,42,21.5
08/30/2003,Appalachian State,17,Hawaii,40, 
08/31/2003,U-C-F,28,Virginia Tech,49,20.5
08/31/2003,Louisville,40,Kentucky,24,7.0
08/31/2003,New Mexico State,7,Texas,66,29.0
09/01/2003,East Carolina,3,Cincinnati,40,8.0
09/01/2003,Texas Christian,38,Tulane,35,-5.5
09/04/2003,Southern Miss,17,U-A-B,12,-2.5
09/04/2003,Western Illinois,34,Eastern Michigan,12, 
09/05/2003,Oregon State,14,Fresno State,16,-8.5
09/06/2003,Boston College,27,Penn State,14,9.0
09/06/2003,San Diego State,13,Ohio State,16,30.5
09/06/2003,Houston,3,Michigan,50,27.5
09/06/2003,Akron,31,Wisconsin,48,24.0
09/06/2003,Buffalo,7,Iowa,56,34.0
09/06/2003,No Carolina State,24,Wake Forest,38,-9.0
09/06/2003,Mississippi,34,Memphis,44,-8.0
09/06/2003,Illinois State,22,Illinois,49, 
09/06/2003,Utah State,7,Nebraska,31,32.0
09/06/2003,Bowling Green,27,Purdue,26,12.0
09/06/2003,New Hampshire,33,Central Michigan,40, 
09/06/2003,Air Force,22,Northwestern,21,-7.0
09/06/2003,Connecticut,48,Army,21,-16.5
09/06/2003,Middle Tennessee,10,Georgia,29,29.0
09/06/2003,James Madison,0,Virginia Tech,43, 
09/06/2003,Syracuse,49,North Carolina,47,-1.0
09/06/2003,Ohio,20,Iowa State,48,18.5
09/06/2003,Tennessee Tech,17,Northern Illinois,42, 
09/06/2003,Washington State,26,Notre Dame,29,6.0
09/06/2003,Troy,7,Minnesota,48,27.0
09/06/2003,Rutgers,28,Michigan State,44,19.0
09/06/2003,Virginia,7,South Carolina,31,-3.0
09/06/2003,Auburn,3,Georgia Tech,17,-9.0
09/06/2003,U.C.L.A.,14,Colorado,16,2.5
09/06/2003,Nevada-Reno,23,Oregon,31,22.0
09/06/2003,Indiana,13,Washington,38,25.5
09/06/2003,Missouri,35,Ball State,7,-15.0
09/06/2003,Marshall,24,Tennessee,34,20.5
09/06/2003,Eastern Washington,8,Idaho,5, 
09/06/2003,Furman,17,Clemson,28, 
09/06/2003,Villanova,23,Temple,20, 
09/06/2003,Western Carolina,3,Duke,29, 
09/06/2003,Colorado State,23,California,21,2.5
09/06/2003,Stephen F Austin,23,UL-Monroe,21, 
09/06/2003,Chattanooga,6,Vanderbilt,51, 
09/06/2003,Kent State,3,Pittsburgh,43,28.5
09/06/2003,Liberty,3,Toledo,49, 
09/06/2003,Murray State,6,Kentucky,37, 
09/06/2003,Nicholls State,17,South Florida,27, 
09/06/2003,Northwestern St(LA),24,Tulane,27, 
09/06/2003,Tennessee-Martin,6,Arkansas State,63, 
09/06/2003,William + Mary,21,Western Michigan,42, 
09/06/2003,West Virginia,48,East Carolina,7,-10.0
09/06/2003,Tulsa,13,Arkansas,45,36.5
09/06/2003,Nevada-Las Vegas,24,Kansas,46,-10.0
09/06/2003,Wyoming,24,Oklahoma State,48,22.0
09/06/2003,Utah,26,Texas A+M,28,9.5
09/06/2003,Navy,3,Texas Christian,17,21.5
09/06/2003,New Mexico,28,Texas Tech,42,13.5
09/06/2003,McNeese State,14,Kansas State,55, 
09/06/2003,Maryland,10,Florida State,35,15.0
09/06/2003,Oklahoma,20,Alabama,13,-7.5
09/06/2003,Florida,33,Miami-Florida,38,14.0
09/06/2003,Western New Mexico,3,New Mexico State,48, 
