Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/22/2002,Colorado State,35,Virginia,29,0.0
08/23/2002,Fresno State,21,Wisconsin,23,10.0
08/24/2002,Texas Tech,21,Ohio State,45,6.0
08/24/2002,New Mexico,14,No Carolina State,34,13.5
08/24/2002,Arizona State,10,Nebraska,48,22.0
08/24/2002,Iowa State,31,Florida State,38,22.5
08/25/2002,Arkansas State,7,Virginia Tech,63,37.0
08/29/2002,Cal-San Luis Obispo,16,Toledo,44, 
08/29/2002,Florida Atlantic,10,South Florida,51, 
08/29/2002,New Hampshire,7,Kent State,34, 
08/29/2002,Richmond,7,Temple,34, 
08/29/2002,Tennessee Tech,7,Bowling Green,41, 
08/29/2002,Wake Forest,41,Northern Illinois,42,0.0
08/29/2002,Indiana State,17,Western Michigan,48, 
08/29/2002,Lehigh,37,Buffalo,26, 
08/29/2002,Sam Houston State,10,Central Michigan,34, 
08/29/2002,Syracuse,21,Brigham Young,42,3.0
08/29/2002,San Diego State,14,Fresno State,16,17.0
08/29/2002,Eastern Kentucky,10,Oregon State,49, 
08/30/2002,Oklahoma,37,Tulsa,0,-37.5
08/31/2002,Washington,29,Michigan,31,6.5
08/31/2002,U-C-F,24,Penn State,27,14.0
08/31/2002,Akron,21,Iowa,57,21.0
08/31/2002,Kansas,3,Iowa State,45,22.0
08/31/2002,Middle Tennessee,34,Alabama,39,17.0
08/31/2002,Colorado,14,Colorado State,19,-9.5
08/31/2002,Eastern Michigan,7,Michigan State,56,37.0
08/31/2002,Chattanooga,6,West Virginia,56, 
08/31/2002,Illinois State,10,Purdue,51, 
08/31/2002,Nevada-Reno,7,Washington State,31,25.5
08/31/2002,Northwestern,3,Air Force,52,2.0
08/31/2002,Illinois,20,Missouri,33,-7.5
08/31/2002,Virginia,19,Florida State,40,30.0
08/31/2002,Southern Univ,19,Tulane,37, 
08/31/2002,Baylor,22,California,70,5.5
08/31/2002,William + Mary,17,Indiana,25, 
08/31/2002,Wyoming,7,Tennessee,47,31.5
08/31/2002,Vanderbilt,3,Georgia Tech,45,20.5
08/31/2002,East Carolina,16,Duke,23,-14.0
08/31/2002,U-A-B,3,Florida,51,31.5
08/31/2002,Mississippi State,13,Oregon,36,12.0
08/31/2002,Navy,38,S-M-U,7,10.5
08/31/2002,Connecticut,16,Boston College,24,32.0
08/31/2002,Troy,16,Nebraska,31,32.0
08/31/2002,San Jose State,33,Arkansas State,14,-1.5
08/31/2002,UL-Lafayette,7,Texas A+M,31,29.5
08/31/2002,UL-Monroe,3,Mississippi,31,30.0
08/31/2002,New Mexico State,24,South Carolina,34,23.5
08/31/2002,Miami-Ohio,27,North Carolina,21,6.0
08/31/2002,Ohio,14,Pittsburgh,27,21.5
08/31/2002,Appalachian State,17,Marshall,50, 
08/31/2002,East Tennessee St,0,No Carolina State,34, 
08/31/2002,Florida A+M,17,Miami-Florida,63, 
08/31/2002,Jackson State,7,Southern Miss,55, 
08/31/2002,Texas State,0,Minnesota,42, 
08/31/2002,Villanova,37,Rutgers,19, 
08/31/2002,Western Kentucky,3,Kansas State,48, 
08/31/2002,Clemson,28,Georgia,31,7.5
08/31/2002,Oklahoma State,36,Louisiana Tech,39,0.0
08/31/2002,Maryland,0,Notre Dame,22,1.0
08/31/2002,Houston,24,Rice,10,6.5
08/31/2002,North Texas,0,Texas,27,34.0
08/31/2002,Idaho,21,Boise State,38,23.0
08/31/2002,Murray State,6,Memphis,52, 
08/31/2002,Weber State,24,New Mexico,38, 
08/31/2002,Wisconsin,27,Nevada-Las Vegas,7,-5.0
08/31/2002,Utah,23,Utah State,3,-12.5
08/31/2002,Eastern Illinois,36,Hawaii,61, 
08/31/2002,Eastern Washington,2,Arizona State,38, 
08/31/2002,Sacramento State,12,UTEP,42, 
08/31/2002,Northern Arizona,3,Arizona,37, 
09/01/2002,Louisiana State,8,Virginia Tech,26,6.5
09/01/2002,Kentucky,22,Louisville,17,13.0
09/02/2002,Texas Christian,29,Cincinnati,36,3.0
09/02/2002,Auburn,17,Southern Cal,24,7.5
09/05/2002,Oregon State,35,Temple,3,-11.0
09/06/2002,Hawaii,32,Brigham Young,35,11.5
09/07/2002,Georgia Tech,31,Connecticut,14,-23.0
09/07/2002,No Carolina State,65,Navy,19,-16.5
09/07/2002,Kent State,17,Ohio State,51,28.5
09/07/2002,Texas A+M,14,Pittsburgh,12,-3.5
