Date,Visitor,Visitor Score,Home Team,Home Score,Line
09/03/2009,South Carolina,7,No Carolina State,3,5.0
09/03/2009,Utah State,17,Utah,35,21.0
09/03/2009,Oregon,9,Boise State,19,3.0
09/03/2009,Troy,14,Bowling Green,31,-7.5
09/03/2009,North Texas,20,Ball State,10,15.0
09/03/2009,Eastern Kentucky,13,Indiana,19, 
09/03/2009,North Dakota St,17,Iowa State,34, 
09/03/2009,Villanova,27,Temple,24, 
09/03/2009,Coastal Carolina,0,Kent State,18, 
09/04/2009,Tulsa,37,Tulane,13,-14.0
09/04/2009,Central Arkansas,20,Hawaii,25, 
09/05/2009,Navy,27,Ohio State,31,22.0
09/05/2009,Akron,7,Penn State,31,29.0
09/05/2009,Western Michigan,7,Michigan,31,13.0
09/05/2009,Connecticut,23,Ohio,16,-3.5
09/05/2009,Nevada-Reno,0,Notre Dame,35,14.5
09/05/2009,Georgia,10,Oklahoma State,24,5.5
09/05/2009,Kentucky,42,Miami-Ohio,0,-16.5
09/05/2009,Brigham Young,14,Oklahoma,13,23.0
09/05/2009,Missouri,37,Illinois,9,7.0
09/05/2009,Rice,24,U-A-B,44,5.5
09/05/2009,Baylor,24,Wake Forest,21,2.5
09/05/2009,Minnesota,23,Syracuse,20,-7.0
09/05/2009,Army,27,Eastern Michigan,17,3.5
09/05/2009,Northern Illinois,20,Wisconsin,28,16.5
09/05/2009,Toledo,31,Purdue,52,10.0
09/05/2009,Stanford,39,Washington State,13,-17.0
09/05/2009,Louisiana Tech,13,Auburn,37,13.5
09/05/2009,New Mexico,6,Texas A+M,41,14.5
09/05/2009,Virginia Tech,24,Alabama,34,6.5
09/05/2009,Idaho,21,New Mexico State,6,2.5
09/05/2009,Buffalo,23,UTEP,17,10.5
09/05/2009,Maryland,13,California,52,21.0
09/05/2009,San Jose State,3,Southern Cal,56,34.0
09/05/2009,Central Michigan,6,Arizona,19,14.5
09/05/2009,San Diego State,14,U.C.L.A.,33,18.5
09/05/2009,Louisiana State,31,Washington,23,-18.0
09/05/2009,Florida Atlantic,3,Nebraska,49,23.5
09/05/2009,Middle Tennessee,14,Clemson,37,18.5
09/05/2009,UL-Monroe,20,Texas,59,43.0
09/05/2009,Western Kentucky,7,Tennessee,63,31.0
09/05/2009,Alcorn State,0,Southern Miss,52, 
09/05/2009,Appalachian State,24,East Carolina,29, 
09/05/2009,Stephen F Austin,23,S-M-U,31, 
09/05/2009,Charleston Southern,3,Florida,62, 
09/05/2009,The Citadel,6,North Carolina,40, 
09/05/2009,Indiana State,10,Louisville,30, 
09/05/2009,Jacksonville St,17,Georgia Tech,37, 
09/05/2009,Jackson State,7,Mississippi State,45, 
09/05/2009,Liberty,20,West Virginia,33, 
09/05/2009,Massachusetts,17,Kansas State,21, 
09/05/2009,Montana State,3,Michigan State,44, 
09/05/2009,Miss Valley State,0,Arkansas State,61, 
09/05/2009,Northern Colorado,3,Kansas,49, 
09/05/2009,Northeastern,0,Boston College,54, 
09/05/2009,Northern Iowa,16,Iowa,17, 
09/05/2009,Northwestern St(LA),7,Houston,55, 
09/05/2009,Portland State,7,Oregon State,34, 
09/05/2009,Samford,24,U-C-F,28, 
09/05/2009,Southern Illinois,28,Marshall,31, 
09/05/2009,Southern Univ,19,UL-Lafayette,42, 
09/05/2009,Missouri State,10,Arkansas,48, 
09/05/2009,Towson,14,Northwestern,47, 
09/05/2009,Western Carolina,0,Vanderbilt,45, 
09/05/2009,William + Mary,26,Virginia,14, 
