Date,Visitor,Visitor Score,Home Team,Home Score,Line
09/01/2005,Buffalo,0,Connecticut,38,18.5
09/01/2005,Oregon,38,Houston,24,-10.0
09/01/2005,Eastern Michigan,26,Cincinnati,28,12.5
09/01/2005,Vanderbilt,24,Wake Forest,20,10.5
09/01/2005,U-C-F,15,South Carolina,24,18.5
09/01/2005,Temple,16,Arizona State,63,26.0
09/01/2005,Idaho,26,Washington State,38,29.5
09/01/2005,Minnesota,41,Tulsa,10,-14.0
09/01/2005,Western Illinois,14,Toledo,62, 
09/01/2005,William + Mary,24,Marshall,36, 
09/01/2005,Northwestern St(LA),27,UL-Monroe,23, 
09/02/2005,Indiana,20,Central Michigan,13,-10.5
09/02/2005,Arizona,24,Utah,27,9.5
09/03/2005,Bowling Green,42,Wisconsin,56,5.0
09/03/2005,Ohio,14,Northwestern,38,14.5
09/03/2005,Western Michigan,19,Virginia,31,32.5
09/03/2005,Ball State,0,Iowa,56,38.5
09/03/2005,Kent State,14,Michigan State,49,18.5
09/03/2005,Miami-Ohio,14,Ohio State,34,17.0
09/03/2005,Northern Illinois,17,Michigan,33,18.0
09/03/2005,South Florida,13,Penn State,23,24.5
09/03/2005,Duke,21,East Carolina,24,-1.5
09/03/2005,U-A-B,10,Tennessee,17,24.0
09/03/2005,Rutgers,30,Illinois,33,1.5
09/03/2005,Colorado State,28,Colorado,31,8.0
09/03/2005,Notre Dame,42,Pittsburgh,21,4.5
09/03/2005,Boise State,13,Georgia,48,6.5
09/03/2005,Navy,20,Maryland,23,7.5
09/03/2005,Wyoming,14,Florida,32,22.5
09/03/2005,Air Force,20,Washington,17,1.5
09/03/2005,Texas Christian,17,Oklahoma,10,27.0
09/03/2005,Georgia Tech,23,Auburn,14,6.5
09/03/2005,Boston College,20,Brigham Young,3,-5.0
09/03/2005,Texas A+M,24,Clemson,25,0.0
09/03/2005,Baylor,28,S-M-U,23,-4.5
09/03/2005,U.C.L.A.,44,San Diego State,21,-8.5
09/03/2005,Southern Cal,63,Hawaii,17,-31.0
09/03/2005,Arkansas State,17,Missouri,44,25.5
09/03/2005,Middle Tennessee,7,Alabama,26,22.5
09/03/2005,Florida Atlantic,19,Kansas,30,19.5
09/03/2005,UL-Lafayette,3,Texas,60,38.5
09/03/2005,Florida Intl,21,Kansas State,35,34.5
09/03/2005,UTEP,34,New Mexico State,17,-11.0
09/03/2005,Murray State,6,Mississippi State,38, 
09/03/2005,Sacramento State,3,California,41, 
09/03/2005,Eastern Washington,24,San Jose State,35, 
09/03/2005,Portland State,14,Oregon State,41, 
09/03/2005,Cal-San Luis Obispo,10,Troy,27, 
09/03/2005,Illinois State,21,Iowa State,32, 
09/03/2005,Maine,7,Nebraska,25, 
09/03/2005,Missouri State,17,Arkansas,49, 
09/03/2005,Montana State,10,Oklahoma State,15, 
09/04/2005,West Virginia,15,Syracuse,7,1.5
09/04/2005,Louisville,31,Kentucky,24,-22.0
09/04/2005,Virginia Tech,20,No Carolina State,16,-5.5
09/05/2005,Nevada-Las Vegas,22,New Mexico,24,14.5
09/05/2005,Mississippi,10,Memphis,6,1.5
09/05/2005,Miami-Florida,7,Florida State,10,-2.5
09/08/2005,Oklahoma State,23,Florida Atlantic,3,-16.5
09/09/2005,Pittsburgh,10,Ohio,16,-14.0
09/09/2005,Washington State,55,Nevada-Reno,21,-10.0
09/10/2005,Kansas State,21,Marshall,19,-9.5
09/10/2005,Notre Dame,17,Michigan,10,7.0
09/10/2005,Clemson,28,Maryland,24,1.0
09/10/2005,Cincinnati,24,Penn State,42,19.5
09/10/2005,Temple,0,Wisconsin,65,34.0
09/10/2005,Virginia Tech,45,Duke,0,-20.5
09/10/2005,Army,7,Boston College,44,28.5
09/10/2005,Mississippi State,0,Auburn,28,16.0
09/10/2005,Tulsa,15,Oklahoma,31,31.0
09/10/2005,San Jose State,19,Illinois,40,16.5
09/10/2005,Akron,24,Purdue,49,35.0
09/10/2005,Central Michigan,38,Miami-Ohio,37,24.5
09/10/2005,Northern Illinois,37,Northwestern,38,3.0
