Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
11/04/2014, Bowling Green, 219, 51, 170, 34, 17, 9, 61, 0, 0, 21, 20, 6, 1, 0, 2006, 27, Akron, 94, 27, 304, 63, 31, 7, 55, 0, 3, 26, 18, 4, 3, 2, 1594, 10
11/04/2014, Toledo, 221, 47, 201, 32, 18, 7, 73, 0, 0, 24, 16, 8, 1, 0, 2235, 30, Kent State, 171, 19, 163, 41, 19, 7, 74, 0, 2, 17, 12, 3, 2, 2, 1365, 20
11/05/2014, Buffalo, 28, 25, 106, 25, 12, 3, 21, 0, 2, 7, 13, 2, 3, 2, 1401, 14, Ohio, 233, 55, 156, 19, 8, 1, 5, 0, 0, 19, 13, 4, 0, 0, 2199, 37
11/05/2014, Northern Illinois, 236, 62, 149, 31, 18, 8, 85, 0, 0, 24, 22, 10, 2, 2, 2150, 35, Ball State, 133, 31, 174, 39, 16, 2, 24, 0, 3, 18, 14, 4, 0, 0, 1450, 21
11/06/2014, Clemson, 145, 37, 282, 42, 27, 8, 75, 0, 1, 20, 20, 9, 4, 1, 1928, 34, Wake Forest, 7, 34, 112, 30, 12, 2, 29, 0, 0, 15, 16, 4, 2, 0, 1672, 20
11/07/2014, Memphis, 82, 40, 230, 28, 21, 6, 51, 0, 0, 17, 17, 5, 0, 0, 1734, 16, Temple, 158, 32, 140, 37, 16, 3, 25, 0, 1, 16, 17, 6, 0, 0, 1866, 13
11/07/2014, Utah State, 206, 33, 150, 17, 13, 6, 75, 0, 0, 12, 10, 2, 0, 0, 1506, 20, Wyoming, 151, 35, 212, 40, 20, 10, 95, 0, 2, 18, 17, 7, 2, 1, 2094, 3
11/08/2014, Louisiana Tech, 228, 46, 200, 34, 19, 2, 15, 0, 1, 24, 15, 8, 0, 0, 2131, 40, UAB, 128, 38, 198, 37, 23, 8, 85, 0, 1, 19, 17, 7, 3, 2, 1469, 24
11/08/2014, UTSA, 104, 23, 153, 32, 17, 7, 70, 0, 0, 18, 11, 3, 0, 0, 1130, 7, Rice, 207, 56, 213, 28, 18, 8, 76, 0, 1, 22, 21, 12, 1, 0, 2470, 17
11/08/2014, SMU, 252, 43, 212, 32, 21, 9, 58, 0, 2, 21, 16, 8, 1, 1, 1804, 28, Tulsa, 215, 47, 286, 25, 16, 5, 40, 0, 0, 26, 14, 8, 1, 0, 1796, 38
11/08/2014, Penn State, 162, 37, 168, 29, 12, 7, 55, 0, 2, 15, 17, 4, 0, 0, 1865, 13, Indiana, 153, 40, 68, 28, 13, 10, 82, 0, 2, 13, 17, 3, 1, 0, 1735, 7
11/08/2014, Iowa, 84, 30, 121, 26, 13, 1, 15, 0, 1, 13, 13, 5, 1, 1, 1398, 14, Minnesota, 289, 59, 138, 14, 10, 2, 17, 0, 0, 23, 15, 10, 1, 1, 2202, 51
11/08/2014, Baylor, 148, 52, 396, 43, 33, 7, 40, 0, 0, 31, 19, 8, 4, 4, 2123, 48, Oklahoma, 171, 33, 148, 29, 13, 7, 59, 0, 1, 13, 13, 4, 2, 0, 1477, 14
11/08/2014, Wisconsin, 264, 42, 225, 30, 20, 4, 40, 0, 1, 25, 15, 8, 1, 0, 1989, 34, Purdue, 26, 26, 204, 37, 17, 2, 15, 0, 0, 11, 17, 5, 2, 0, 1611, 16
11/08/2014, Georgia, 305, 39, 254, 21, 18, 4, 33, 0, 0, 28, 8, 8, 0, 0, 1582, 63, Kentucky, 214, 47, 139, 31, 16, 3, 25, 0, 1, 22, 18, 9, 3, 3, 2018, 31
11/08/2014, Presbyterian, 89, 36, 67, 20, 10, 3, 25, 0, 1, 10, 12, 2, 0, 0, 2013, 0, Mississippi, 402, 36, 238, 30, 24, 4, 40, 0, 1, 22, 14, 8, 4, 2, 1587, 48
11/08/2014, Duke, 98, 33, 161, 33, 15, 5, 40, 0, 1, 12, 19, 8, 1, 0, 1769, 27, Syracuse, 119, 37, 105, 32, 17, 7, 55, 0, 2, 12, 16, 4, 2, 0, 1831, 10
11/08/2014, Georgia Tech, 479, 64, 70, 8, 7, 8, 62, 0, 0, 30, 10, 8, 0, 0, 2190, 56, North Carolina State, 155, 28, 213, 35, 18, 6, 52, 0, 2, 23, 12, 6, 1, 1, 1410, 23
11/08/2014, South Alabama, 111, 36, 90, 25, 9, 3, 25, 0, 3, 14, 12, 1, 3, 0, 1728, 10, Arkansas State, 214, 49, 186, 34, 17, 8, 77, 0, 0, 22, 19, 10, 2, 1, 1872, 45
11/08/2014, Georgia State, 101, 34, 293, 37, 23, 3, 25, 0, 2, 21, 16, 10, 1, 1, 1681, 21, Troy, 324, 45, 116, 22, 18, 3, 23, 0, 0, 21, 13, 6, 3, 3, 1919, 45
11/08/2014, Louisiana-Monroe, 55, 30, 244, 41, 20, 8, 78, 0, 0, 20, 15, 5, 2, 2, 1666, 29, Appalachian State, 104, 36, 276, 35, 25, 7, 50, 0, 1, 23, 15, 6, 2, 2, 1934, 31
11/08/2014, Texas A&M, 176, 35, 277, 29, 19, 5, 47, 0, 1, 22, 10, 4, 0, 0, 1640, 41, Auburn, 363, 59, 219, 21, 15, 8, 65, 0, 0, 31, 11, 7, 0, 0, 1960, 38
11/08/2014, Notre Dame, 41, 38, 446, 41, 22, 5, 43, 0, 4, 24, 13, 5, 3, 1, 1833, 31, Arizona State, 188, 45, 224, 28, 17, 3, 19, 0, 1, 22, 15, 5, 1, 1, 1767, 55
11/08/2014, Connecticut, 163, 23, 190, 37, 23, 5, 31, 0, 2, 18, 10, 3, 2, 2, 1497, 21, Army, 327, 60, 38, 3, 2, 3, 30, 0, 0, 22, 12, 7, 2, 2, 2047, 35
11/08/2014, Tulane, 124, 36, 237, 35, 24, 5, 64, 0, 1, 22, 16, 10, 0, 0, 1882, 31, Houston, 90, 32, 342, 49, 31, 6, 51, 0, 3, 25, 15, 8, 1, 0, 1716, 24
11/08/2014, Florida International, 256, 55, 132, 13, 8, 6, 59, 0, 1, 21, 14, 8, 0, 0, 2067, 35, Old Dominion, 210, 35, 315, 35, 20, 1, 10, 0, 0, 26, 11, 5, 3, 2, 1533, 38
11/08/2014, West Virginia, 200, 41, 248, 49, 36, 8, 57, 0, 1, 24, 17, 3, 5, 3, 1906, 16, Texas, 227, 39, 124, 29, 11, 5, 60, 0, 1, 19, 15, 4, 1, 0, 1694, 33
11/08/2014, Michigan, 147, 35, 109, 24, 11, 5, 50, 0, 2, 13, 12, 1, 1, 0, 1689, 10, Northwestern, -9, 35, 273, 49, 32, 3, 10, 0, 2, 18, 21, 10, 2, 0, 1911, 9
11/08/2014, Iowa State, 98, 25, 275, 50, 25, 4, 26, 0, 1, 22, 16, 7, 3, 1, 1347, 14, Kansas, 228, 48, 286, 43, 26, 4, 32, 0, 0, 29, 20, 11, 3, 1, 2253, 34
11/08/2014, UTEP, 236, 46, 158, 22, 9, 5, 37, 0, 1, 19, 16, 8, 1, 0, 2193, 27, Western Kentucky, 35, 21, 324, 34, 23, 3, 24, 0, 0, 16, 13, 6, 0, 0, 1407, 35
11/08/2014, Air Force, 386, 78, 156, 7, 6, 2, 30, 0, 0, 26, 17, 10, 2, 2, 2223, 48, UNLV, 33, 30, 306, 45, 22, 3, 30, 0, 0, 19, 19, 8, 5, 2, 1377, 21
11/08/2014, Washington State, 35, 22, 471, 61, 44, 5, 51, 0, 0, 33, 14, 8, 1, 0, 1878, 39, Oregon State, 37, 24, 419, 41, 31, 10, 100, 0, 0, 23, 12, 4, 0, 0, 1722, 32
11/08/2014, Tennessee-Martin, 151, 38, 216, 43, 22, 3, 25, 0, 0, 22, 18, 8, 3, 2, 2167, 16, Mississippi State, 254, 32, 266, 27, 17, 3, 20, 0, 0, 21, 14, 8, 1, 1, 1433, 45
11/08/2014, Georgia Southern, 227, 40, 41, 9, 6, 7, 74, 0, 0, 9, 13, 4, 1, 0, 1636, 28, Texas State, 137, 42, 302, 51, 30, 4, 41, 0, 2, 26, 18, 7, 3, 0, 1964, 25
11/08/2014, Idaho, 193, 49, 186, 33, 17, 4, 30, 0, 0, 26, 16, 8, 3, 0, 1894, 21, San Diego State, 156, 39, 249, 22, 14, 4, 51, 0, 0, 18, 14, 9, 0, 0, 1706, 35
11/08/2014, Virginia, 37, 32, 220, 35, 20, 6, 49, 0, 1, 17, 16, 7, 2, 1, 1758, 20, Florida State, 115, 39, 261, 35, 22, 6, 46, 0, 2, 20, 13, 5, 0, 0, 1842, 34
11/08/2014, Florida Atlantic, 95, 32, 102, 31, 15, 7, 55, 0, 1, 12, 16, 5, 1, 1, 1618, 10, North Texas, 235, 52, 107, 17, 13, 3, 35, 0, 1, 19, 16, 8, 2, 1, 1982, 31
11/08/2014, Marshall, 335, 38, 186, 19, 13, 7, 80, 0, 0, 25, 6, 4, 0, 0, 1499, 63, Southern Mississippi, 186, 54, 114, 20, 11, 7, 68, 0, 1, 23, 13, 3, 2, 0, 2101, 17
11/08/2014, Boise State, 291, 48, 367, 32, 21, 4, 24, 0, 0, 34, 11, 3, 3, 2, 1869, 60, New Mexico, 505, 49, 122, 16, 9, 5, 50, 0, 0, 18, 13, 5, 4, 2, 1731, 49
11/08/2014, Hawai'i, 141, 36, 211, 49, 17, 2, 20, 0, 2, 22, 21, 10, 1, 1, 1757, 22, Colorado State, 293, 43, 287, 28, 16, 7, 46, 0, 0, 26, 13, 8, 1, 0, 1843, 49
11/08/2014, UCLA, 174, 40, 302, 37, 29, 4, 37, 0, 0, 28, 14, 8, 0, 0, 1840, 44, Washington, 211, 48, 155, 24, 14, 7, 65, 0, 1, 22, 14, 5, 1, 1, 1760, 30
11/08/2014, Louisville, 166, 40, 257, 24, 17, 10, 87, 0, 0, 21, 13, 6, 1, 0, 1931, 38, Boston College, 166, 43, 166, 20, 9, 5, 45, 0, 4, 17, 13, 5, 3, 1, 1669, 19
11/08/2014, Kansas State, 34, 19, 376, 40, 22, 5, 68, 0, 1, 16, 14, 5, 0, 0, 1482, 20, TCU, 334, 48, 219, 34, 23, 4, 35, 0, 0, 28, 17, 8, 0, 0, 2118, 41
11/08/2014, Florida, 214, 50, 215, 22, 13, 10, 82, 0, 0, 19, 15, 6, 2, 1, 2101, 34, Vanderbilt, 83, 24, 225, 45, 21, 6, 49, 0, 2, 17, 16, 4, 4, 3, 1499, 10
11/08/2014, Alabama, 106, 29, 209, 46, 20, 3, 29, 0, 0, 15, 20, 8, 1, 1, 1304, 20, LSU, 183, 56, 76, 26, 8, 2, 20, 0, 1, 17, 22, 9, 2, 1, 2296, 13
11/08/2014, Louisiana-Lafayette, 244, 54, 158, 23, 12, 1, 5, 0, 0, 22, 16, 9, 0, 0, 2177, 44, New Mexico State, 103, 33, 204, 34, 19, 1, 5, 0, 3, 14, 17, 6, 2, 1, 1423, 16
