Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
09/18/2014, Auburn, 128, 45, 231, 31, 17, 6, 46, 0, 1, 22, 18, 10, 0, 0, 1860, 20, Kansas State, 40, 30, 245, 40, 24, 0, 0, 0, 2, 20, 14, 8, 0, 0, 1740, 14
09/19/2014, Connecticut, 44, 27, 88, 9, 6, 9, 49, 0, 0, 6, 9, 0, 0, 0, 1258, 14, South Florida, 158, 53, 113, 18, 10, 5, 45, 0, 1, 17, 16, 7, 1, 1, 2342, 17
09/20/2014, Georgia Tech, 250, 44, 125, 18, 7, 8, 60, 0, 0, 19, 12, 4, 2, 1, 1760, 27, Virginia Tech, 127, 33, 297, 39, 28, 12, 79, 0, 3, 24, 14, 8, 0, 0, 1840, 24
09/20/2014, Iowa, 133, 35, 178, 18, 12, 2, 20, 0, 1, 17, 11, 4, 3, 3, 1629, 24, Pittsburgh, 185, 42, 250, 30, 19, 8, 80, 0, 1, 24, 13, 6, 3, 2, 1971, 20
09/20/2014, Eastern Michigan, 20, 19, 115, 29, 10, 4, 38, 0, 1, 5, 13, 1, 1, 1, 1039, 14, Michigan State, 336, 60, 160, 19, 14, 4, 25, 0, 1, 24, 17, 9, 0, 0, 2561, 73
09/20/2014, Western Illinois, 84, 36, 292, 50, 29, 6, 40, 0, 1, 22, 17, 4, 5, 2, 1977, 7, Northwestern, 166, 41, 117, 25, 15, 5, 35, 0, 0, 15, 14, 3, 2, 1, 1623, 24
09/20/2014, Southern Illinois, 82, 28, 248, 46, 24, 5, 45, 0, 1, 20, 18, 10, 2, 0, 1725, 13, Purdue, 183, 44, 198, 26, 15, 4, 26, 0, 0, 23, 14, 7, 1, 0, 1875, 35
09/20/2014, Bowling Green, 93, 29, 178, 33, 15, 7, 36, 0, 1, 11, 15, 2, 0, 0, 1404, 17, Wisconsin, 644, 60, 112, 18, 9, 5, 55, 0, 1, 29, 7, 3, 0, 0, 2196, 68
09/20/2014, Old Dominion, 100, 21, 430, 43, 27, 5, 55, 0, 0, 25, 11, 5, 2, 2, 1326, 45, Rice, 284, 54, 242, 34, 22, 5, 50, 0, 0, 30, 16, 10, 2, 2, 2274, 42
09/20/2014, Troy, 47, 28, 169, 33, 18, 4, 35, 0, 1, 11, 16, 5, 1, 0, 1925, 0, Georgia, 367, 39, 180, 22, 14, 5, 35, 0, 0, 23, 11, 6, 1, 1, 1675, 66
09/20/2014, Maryland, 89, 32, 280, 26, 16, 8, 75, 0, 0, 17, 13, 4, 0, 0, 1666, 34, Syracuse, 370, 51, 219, 28, 14, 8, 69, 0, 1, 26, 14, 4, 1, 0, 1934, 20
09/20/2014, Tulane, 231, 58, 160, 36, 14, 13, 92, 0, 4, 28, 18, 5, 6, 1, 2068, 13, Duke, 256, 42, 181, 28, 15, 7, 80, 0, 1, 23, 13, 7, 1, 0, 1532, 47
09/20/2014, Maine, 16, 22, 123, 18, 10, 4, 25, 0, 0, 6, 11, 2, 0, 0, 1270, 10, Boston College, 413, 64, 136, 21, 12, 3, 26, 0, 1, 28, 15, 6, 4, 3, 2330, 40
09/20/2014, Delaware State, 26, 30, 67, 23, 12, 6, 35, 0, 3, 7, 14, 4, 0, 0, 1908, 0, Temple, 172, 40, 179, 21, 16, 8, 69, 0, 2, 19, 7, 3, 1, 1, 1692, 59
09/20/2014, Marshall, 284, 38, 242, 38, 20, 20, 188, 0, 1, 28, 15, 8, 1, 1, 1998, 48, Akron, 92, 23, 251, 52, 25, 10, 94, 0, 2, 25, 13, 2, 2, 0, 1602, 17
09/20/2014, Hawai'i, 131, 32, 155, 46, 17, 2, 15, 0, 1, 20, 19, 5, 0, 0, 1654, 12, Colorado, 118, 36, 287, 45, 29, 9, 83, 0, 2, 20, 18, 6, 3, 2, 1946, 21
09/20/2014, Nicholls State, 78, 42, 166, 32, 17, 5, 40, 0, 3, 14, 20, 6, 2, 1, 2431, 3, North Texas, 324, 38, 202, 17, 13, 5, 40, 0, 0, 20, 7, 5, 0, 0, 1169, 77
09/20/2014, Norfolk State, 116, 46, 99, 12, 3, 5, 55, 0, 0, 10, 15, 4, 2, 0, 1675, 7, Buffalo, 169, 44, 262, 29, 15, 4, 55, 0, 0, 22, 16, 7, 1, 1, 1925, 36
09/20/2014, Florida, 107, 27, 93, 28, 9, 5, 36, 0, 2, 11, 13, 2, 1, 0, 1244, 21, Alabama, 223, 52, 449, 35, 24, 11, 80, 0, 1, 28, 16, 12, 1, 0, 2356, 42
09/20/2014, Texas A&M, 268, 31, 395, 37, 24, 6, 53, 0, 1, 28, 11, 6, 0, 0, 1433, 58, SMU, 102, 42, 139, 29, 14, 7, 75, 0, 0, 13, 19, 7, 2, 1, 2167, 6
09/20/2014, North Carolina, 145, 39, 294, 43, 24, 8, 85, 0, 1, 23, 18, 6, 2, 2, 1501, 41, East Carolina, 343, 46, 446, 51, 32, 9, 74, 0, 1, 39, 17, 12, 0, 0, 2099, 70
09/20/2014, Virginia, 192, 44, 327, 58, 35, 8, 86, 0, 1, 35, 22, 10, 4, 2, 2455, 33, BYU, 145, 37, 187, 23, 13, 12, 133, 0, 0, 16, 14, 6, 0, 0, 1145, 41
09/20/2014, Army, 341, 59, 18, 5, 3, 7, 57, 0, 0, 17, 12, 3, 2, 2, 2146, 21, Wake Forest, 100, 30, 238, 35, 25, 4, 30, 0, 1, 21, 13, 7, 2, 0, 1454, 24
09/20/2014, Louisville, 12, 35, 324, 36, 20, 7, 36, 0, 0, 16, 17, 5, 3, 2, 1743, 34, Florida International, 88, 40, 117, 26, 13, 6, 60, 0, 2, 12, 16, 3, 1, 0, 1857, 3
09/20/2014, Central Michigan, 101, 35, 178, 26, 18, 5, 43, 0, 1, 18, 12, 3, 0, 0, 1867, 10, Kansas, 138, 35, 231, 34, 24, 8, 65, 0, 1, 15, 19, 9, 1, 1, 1733, 24
09/20/2014, Rutgers, 284, 56, 151, 14, 11, 2, 24, 0, 0, 24, 14, 8, 1, 1, 2154, 31, Navy, 171, 43, 231, 22, 12, 3, 32, 0, 0, 20, 14, 7, 1, 0, 1446, 24
09/20/2014, Utah, 81, 37, 205, 27, 18, 6, 50, 0, 1, 13, 17, 6, 0, 0, 1588, 26, Michigan, 118, 36, 190, 39, 18, 3, 20, 0, 3, 19, 19, 9, 4, 2, 2012, 10
