Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
08/30/2014, Appalachian State, 153, 36, 127, 33, 17, 8, 69, 0, 0, 17, 17, 5, 3, 2, 1792, 14, Michigan, 350, 36, 210, 19, 16, 4, 44, 0, 1, 24, 8, 5, 0, 0, 1808, 52
08/30/2014, North Dakota State, 302, 44, 204, 28, 18, 8, 64, 0, 0, 22, 15, 9, 0, 0, 2147, 34, Iowa State, 102, 26, 151, 31, 20, 5, 31, 0, 2, 16, 13, 6, 1, 0, 1453, 14
08/30/2014, Youngstown State, 203, 59, 177, 24, 11, 5, 25, 0, 0, 19, 20, 5, 3, 2, 2401, 17, Illinois, 78, 22, 285, 38, 24, 7, 55, 0, 0, 14, 15, 8, 0, 0, 1199, 28
08/30/2014, Indiana State, 30, 24, 140, 33, 17, 2, 22, 0, 0, 10, 14, 2, 2, 1, 1420, 10, Indiana, 455, 69, 111, 18, 11, 4, 30, 0, 1, 29, 17, 11, 2, 0, 2180, 28
08/30/2014, Northern Iowa, 25, 25, 380, 37, 17, 16, 128, 0, 2, 13, 16, 6, 1, 0, 1606, 23, Iowa, 151, 36, 250, 41, 31, 4, 35, 0, 0, 26, 14, 7, 1, 0, 1994, 31
08/30/2014, Ohio State, 194, 40, 226, 15, 12, 2, 20, 0, 1, 19, 8, 2, 2, 1, 1654, 34, Navy, 370, 63, 20, 4, 2, 3, 20, 0, 0, 22, 12, 4, 1, 1, 1946, 17
08/30/2014, Western Michigan, 213, 32, 243, 41, 23, 5, 35, 0, 1, 24, 14, 5, 2, 0, 1856, 34, Purdue, 226, 39, 181, 38, 19, 7, 52, 0, 0, 22, 17, 7, 2, 1, 1744, 43
08/30/2014, Troy, 71, 36, 201, 31, 21, 5, 55, 0, 0, 15, 16, 5, 3, 1, 1783, 10, UAB, 338, 55, 152, 20, 13, 3, 35, 0, 1, 25, 14, 9, 0, 0, 1817, 48
08/30/2014, Tennessee-Martin, 183, 47, 215, 34, 23, 7, 51, 0, 2, 25, 14, 4, 5, 5, 2178, 14, Kentucky, 234, 28, 422, 33, 22, 6, 59, 0, 0, 24, 14, 8, 2, 1, 1422, 59
08/30/2014, Wofford, 271, 47, 55, 13, 7, 5, 46, 0, 0, 16, 13, 5, 2, 1, 1886, 19, Georgia Tech, 226, 43, 282, 16, 11, 5, 50, 0, 0, 21, 10, 5, 2, 2, 1714, 38
08/30/2014, Georgia Southern, 246, 47, 192, 17, 10, 3, 35, 0, 0, 18, 14, 6, 1, 0, 1947, 23, North Carolina State, 173, 35, 291, 40, 28, 4, 20, 0, 1, 26, 15, 7, 1, 0, 1653, 24
08/30/2014, Colgate, 90, 28, 137, 26, 14, 4, 58, 0, 0, 9, 13, 2, 2, 1, 1419, 10, Ball State, 311, 53, 203, 32, 20, 5, 40, 0, 1, 29, 16, 8, 0, 0, 2181, 30
08/30/2014, Nicholls State, 63, 30, 200, 31, 18, 6, 29, 0, 0, 18, 12, 3, 0, 0, 1732, 16, Air Force, 539, 73, 19, 6, 3, 9, 109, 0, 0, 27, 12, 6, 3, 2, 1868, 44
08/30/2014, Southern Utah, 156, 22, 224, 42, 25, 3, 20, 0, 1, 16, 14, 3, 0, 0, 1142, 19, Nevada, 244, 55, 303, 41, 30, 4, 19, 0, 1, 30, 22, 14, 0, 0, 2458, 28
08/30/2014, Boston College, 338, 61, 173, 25, 17, 7, 55, 0, 1, 27, 17, 9, 3, 2, 2531, 30, Massachusetts, 55, 22, 147, 22, 9, 4, 23, 0, 1, 9, 11, 3, 1, 0, 1069, 7
08/30/2014, James Madison, 161, 44, 141, 37, 16, 9, 102, 0, 2, 16, 19, 4, 4, 3, 1570, 7, Maryland, 285, 50, 186, 35, 18, 5, 35, 0, 1, 30, 18, 9, 2, 2, 2030, 52
08/30/2014, Florida Atlantic, 105, 30, 95, 30, 11, 3, 22, 0, 0, 13, 15, 4, 1, 0, 1565, 7, Nebraska, 498, 57, 286, 35, 17, 6, 60, 0, 0, 35, 12, 8, 0, 0, 2035, 55
08/30/2014, California, 114, 45, 300, 39, 23, 6, 59, 0, 2, 23, 17, 8, 3, 2, 1894, 31, Northwestern, 108, 36, 246, 45, 24, 1, 0, 0, 2, 22, 20, 8, 4, 2, 1706, 24
08/30/2014, West Virginia, 28, 24, 365, 45, 29, 6, 55, 0, 0, 22, 14, 5, 1, 0, 1333, 23, Alabama, 288, 49, 250, 33, 24, 7, 49, 0, 1, 30, 16, 9, 1, 0, 2267, 33
08/30/2014, Duquesne, 51, 33, 322, 37, 18, 3, 45, 0, 0, 18, 16, 6, 2, 2, 1519, 28, Buffalo, 174, 49, 298, 36, 25, 3, 31, 0, 1, 26, 20, 11, 2, 2, 2081, 38
08/30/2014, Hampton, 9, 26, 407, 46, 32, 7, 71, 0, 1, 20, 16, 9, 1, 1, 1813, 28, Old Dominion, 188, 36, 281, 40, 29, 4, 29, 0, 2, 31, 14, 10, 2, 1, 1787, 41
08/30/2014, Rice, 141, 40, 226, 26, 15, 5, 30, 0, 1, 16, 15, 6, 1, 0, 1791, 17, Notre Dame, 281, 42, 295, 22, 14, 2, 10, 0, 0, 23, 13, 6, 0, 0, 1809, 48
08/30/2014, Marshall, 171, 36, 261, 32, 20, 9, 98, 0, 0, 20, 12, 4, 3, 1, 1514, 42, Miami (Ohio), 100, 36, 318, 49, 24, 12, 107, 0, 1, 22, 19, 5, 5, 1, 2086, 27
08/30/2014, South Dakota State, 119, 32, 246, 32, 23, 5, 25, 0, 2, 15, 15, 5, 0, 0, 2124, 18, Missouri, 215, 39, 178, 21, 13, 5, 27, 0, 0, 19, 11, 3, 2, 2, 1476, 38
08/30/2014, Montana, 42, 19, 211, 46, 25, 3, 25, 0, 0, 16, 17, 6, 2, 1, 1506, 12, Wyoming, 209, 46, 92, 21, 13, 1, 4, 0, 1, 18, 16, 7, 1, 0, 2094, 17
08/30/2014, Portland State, 131, 24, 83, 27, 10, 3, 30, 0, 2, 15, 9, 0, 1, 1, 1234, 14, Oregon State, 176, 37, 328, 45, 26, 13, 119, 0, 0, 25, 14, 3, 1, 1, 2366, 29
08/30/2014, UC Davis, 61, 27, 54, 22, 12, 5, 42, 0, 2, 6, 13, 1, 0, 0, 1698, 0, Stanford, 149, 32, 312, 30, 21, 4, 40, 0, 1, 21, 10, 4, 1, 0, 1902, 45
08/30/2014, Arkansas, 153, 29, 175, 31, 18, 4, 40, 0, 1, 20, 10, 2, 1, 0, 1637, 21, Auburn, 302, 48, 293, 22, 16, 7, 71, 0, 0, 27, 14, 9, 0, 0, 1963, 45
08/30/2014, William & Mary, 76, 28, 117, 23, 9, 4, 26, 0, 0, 12, 12, 1, 0, 0, 1626, 9, Virginia Tech, 222, 42, 266, 31, 24, 10, 75, 0, 1, 24, 15, 8, 0, 0, 1974, 34
08/30/2014, Clemson, 88, 43, 203, 33, 18, 3, 40, 0, 1, 15, 20, 7, 2, 2, 1797, 21, Georgia, 328, 41, 131, 26, 18, 8, 65, 0, 0, 22, 13, 5, 1, 1, 1803, 45
08/30/2014, Elon, 138, 31, 190, 38, 19, 4, 21, 0, 0, 17, 14, 4, 2, 1, 1640, 13, Duke, 275, 44, 292, 42, 28, 2, 15, 0, 0, 31, 12, 3, 6, 5, 1960, 52
08/30/2014, Liberty, 157, 41, 189, 33, 16, 2, 19, 0, 2, 15, 14, 5, 0, 0, 1914, 29, North Carolina, 208, 48, 235, 45, 29, 10, 60, 0, 3, 29, 17, 9, 1, 0, 1686, 56
08/30/2014, Ohio, 175, 44, 262, 24, 18, 1, 5, 0, 0, 20, 14, 7, 2, 2, 1780, 17, Kent State, 31, 22, 264, 41, 30, 8, 44, 0, 0, 17, 14, 6, 0, 0, 1820, 14
08/30/2014, Morgan State, 210, 41, 269, 28, 18, 9, 80, 0, 0, 20, 16, 10, 0, 0, 1857, 28, Eastern Michigan, 292, 56, 99, 30, 18, 4, 30, 0, 0, 30, 19, 11, 2, 2, 1743, 31
08/30/2014, New Hampshire, 37, 31, 338, 45, 31, 6, 33, 0, 1, 24, 17, 10, 1, 0, 1865, 20, Toledo, 306, 45, 360, 35, 25, 3, 37, 0, 0, 34, 12, 9, 0, 0, 1735, 54
08/30/2014, Savannah State, 145, 35, 84, 31, 15, 10, 73, 0, 1, 13, 14, 4, 2, 0, 1971, 7, Middle Tennessee, 228, 46, 291, 20, 17, 9, 70, 0, 1, 22, 10, 9, 0, 0, 1629, 61
08/30/2014, Bethune-Cookman, 90, 43, 149, 17, 8, 10, 86, 0, 0, 11, 16, 5, 2, 1, 1946, 14, Florida International, 43, 32, 143, 33, 16, 8, 47, 0, 0, 12, 16, 1, 5, 3, 1654, 12
08/30/2014, Northern Arizona, 124, 36, 188, 28, 15, 4, 50, 0, 1, 14, 15, 5, 1, 0, 1805, 7, San Diego State, 194, 37, 205, 29, 18, 5, 29, 0, 1, 25, 12, 6, 0, 0, 1795, 38
08/30/2014, Austin Peay, 116, 34, 30, 16, 6, 9, 61, 0, 1, 8, 13, 1, 0, 0, 1547, 0, Memphis, 303, 55, 242, 27, 20, 6, 55, 0, 1, 28, 12, 6, 2, 2, 2053, 63
08/30/2014, Western Carolina, 80, 29, 378, 68, 47, 5, 45, 0, 1, 27, 20, 9, 2, 2, 2246, 31, South Florida, 294, 33, 191, 27, 10, 6, 38, 0, 1, 13, 13, 4, 2, 0, 1354, 36
08/30/2014, Louisiana Tech, 54, 29, 191, 36, 22, 5, 32, 0, 1, 15, 15, 5, 1, 1, 1862, 16, Oklahoma, 183, 40, 253, 34, 19, 3, 34, 0, 1, 26, 13, 5, 4, 4, 1738, 48
08/30/2014, Samford, 87, 47, 56, 20, 10, 3, 35, 0, 1, 9, 20, 6, 1, 0, 1665, 14, TCU, 200, 46, 355, 50, 33, 4, 60, 0, 1, 33, 16, 7, 2, 2, 1935, 48
08/30/2014, Central Arkansas, 178, 54, 228, 40, 24, 5, 34, 0, 0, 28, 19, 5, 6, 6, 2016, 35, Texas Tech, 184, 36, 452, 53, 39, 15, 114, 0, 2, 35, 11, 6, 2, 2, 1584, 42
08/30/2014, Montana State, 86, 44, 142, 26, 14, 7, 44, 0, 2, 10, 18, 2, 2, 2, 1965, 10, Arkansas State, 283, 49, 264, 30, 20, 4, 36, 0, 0, 23, 16, 7, 2, 0, 1635, 37
