Date,Visitor,Visitor Score,Home Team,Home Score,Line
09/02/2010,Southern Miss,13,South Carolina,41,13.0
09/02/2010,Marshall,7,Ohio State,45,28.0
09/02/2010,Northern Illinois,10,Iowa State,27,4.0
09/02/2010,Pittsburgh,24,Utah,27,3.5
09/02/2010,Southern Cal,49,Hawaii,36,-20.5
09/02/2010,Minnesota,24,Middle Tennessee,17,-1.0
09/02/2010,Florida Atlantic,32,U-A-B,31,13.0
09/02/2010,Florida A+M,0,Miami-Florida,45, 
09/02/2010,Presbyterian,13,Wake Forest,53, 
09/02/2010,S E Missouri St,10,Ball State,27, 
09/02/2010,Hampton,0,Central Michigan,33, 
09/02/2010,Rhode Island,0,Buffalo,31, 
09/02/2010,Murray State,10,Kent State,41, 
09/02/2010,Towson,17,Indiana,51, 
09/02/2010,Norfolk State,0,Rutgers,31, 
09/02/2010,S E Louisiana,21,Tulane,27, 
09/02/2010,North Dakota,0,Idaho,45, 
09/02/2010,Eastern Washington,24,Nevada-Reno,49, 
09/03/2010,Arizona,41,Toledo,2,-15.0
09/03/2010,Villanova,24,Temple,31, 
09/04/2010,Western Michigan,14,Michigan State,38,22.5
09/04/2010,Miami-Ohio,12,Florida,34,38.5
09/04/2010,Illinois,13,Missouri,23,13.5
09/04/2010,Colorado,24,Colorado State,3,-12.0
09/04/2010,Northwestern,23,Vanderbilt,21,-3.5
09/04/2010,Memphis,7,Mississippi State,49,21.0
09/04/2010,Texas,34,Rice,17,-31.5
09/04/2010,Purdue,12,Notre Dame,23,10.5
09/04/2010,Connecticut,10,Michigan,30,3.0
09/04/2010,Kentucky,23,Louisville,16,-3.0
09/04/2010,New Mexico,0,Oregon,72,36.5
09/04/2010,U.C.L.A.,22,Kansas State,31,1.0
09/04/2010,Syracuse,29,Akron,3,-8.5
09/04/2010,Washington,17,Brigham Young,23,-1.5
09/04/2010,Washington State,17,Oklahoma State,65,17.0
09/04/2010,San Jose State,3,Alabama,48,39.5
09/04/2010,Utah State,24,Oklahoma,31,35.0
09/04/2010,Army,31,Eastern Michigan,27,-9.5
09/04/2010,Oregon State,21,Texas Christian,30,13.0
09/04/2010,North Carolina,24,Louisiana State,30,8.5
09/04/2010,Cincinnati,14,Fresno State,28,2.5
09/04/2010,Wisconsin,41,Nevada-Las Vegas,21,-20.0
09/04/2010,UL-Lafayette,7,Georgia,55,29.5
09/04/2010,Western Kentucky,10,Nebraska,49,39.5
09/04/2010,North Texas,10,Clemson,35,27.5
09/04/2010,Bowling Green,27,Troy,30,14.5
09/04/2010,Arkansas State,26,Auburn,52,31.0
09/04/2010,Samford,6,Florida State,59, 
09/04/2010,Youngstown State,14,Penn State,44, 
09/04/2010,Eastern Illinois,7,Iowa,37, 
09/04/2010,So Carolina State,10,Georgia Tech,41, 
09/04/2010,Weber State,20,Boston College,38, 
09/04/2010,Jacksonville St,49,Mississippi,48, 
09/04/2010,Coastal Carolina,0,West Virginia,31, 
09/04/2010,UC-Davis,3,California,52, 
09/04/2010,Richmond,13,Virginia,34, 
09/04/2010,Western Carolina,7,No Carolina State,48, 
09/04/2010,South Dakota,7,U-C-F,38, 
09/04/2010,Tennessee-Martin,0,Tennessee,50, 
09/04/2010,Sacramento State,17,Stanford,52, 
09/04/2010,Stony Brook,14,South Florida,59, 
09/04/2010,Wofford,10,Ohio,33, 
09/04/2010,Tennessee Tech,3,Arkansas,44, 
09/04/2010,Elon,27,Duke,41, 
09/04/2010,Sam Houston State,3,Baylor,34, 
09/04/2010,Stephen F Austin,7,Texas A+M,48, 
09/04/2010,North Dakota St,6,Kansas,3, 
09/04/2010,Louisiana Tech,20,Grambling,6, 
09/04/2010,Texas State,28,Houston,68, 
09/04/2010,Nicholls State,0,San Diego State,47, 
09/04/2010,Southern Utah,20,Wyoming,28, 
09/04/2010,Arkansas-Pine Bluff,10,UTEP,31, 
09/04/2010,Portland State,9,Arizona State,54, 
09/04/2010,Northwestern St(LA),21,Air Force,65, 
09/05/2010,Tulsa,49,East Carolina,51,-7.0
09/05/2010,S-M-U,27,Texas Tech,35,13.5
09/06/2010,Maryland,17,Navy,14,-6.5
09/06/2010,Boise State,33,Virginia Tech,30,1.5
09/09/2010,Auburn,17,Mississippi State,14,-1.5
09/09/2010,Central Michigan,10,Temple,13,7.5
09/10/2010,West Virginia,24,Marshall,21,-12.0
09/10/2010,UTEP,24,Houston,54,21.0
09/11/2010,Georgia Tech,25,Kansas,28,-14.0
09/11/2010,Memphis,27,East Carolina,49,14.0
09/11/2010,Georgia,6,South Carolina,17,3.0
09/11/2010,Duke,48,Wake Forest,54,6.0
09/11/2010,Hawaii,31,Army,28,3.0
09/11/2010,San Jose State,14,Wisconsin,27,39.5
09/11/2010,South Florida,14,Florida,38,15.5
09/11/2010,Idaho,17,Nebraska,38,27.5
09/11/2010,Louisiana State,27,Vanderbilt,3,-10.5
09/11/2010,Iowa State,7,Iowa,35,13.5
09/11/2010,Colorado,7,California,52,10.5
09/11/2010,Florida State,17,Oklahoma,47,6.5
09/11/2010,Michigan,28,Notre Dame,24,3.5
09/11/2010,Eastern Michigan,21,Miami-Ohio,28,14.0
09/11/2010,Kent State,13,Boston College,26,17.0
09/11/2010,Miami-Florida,24,Ohio State,36,8.5
09/11/2010,Brigham Young,14,Air Force,35,1.5
09/11/2010,Nevada-Las Vegas,10,Utah,38,20.5
09/11/2010,Oregon,48,Tennessee,13,-11.0
09/11/2010,Bowling Green,20,Tulsa,33,17.0
09/11/2010,Wyoming,7,Texas,34,27.5
09/11/2010,Louisiana Tech,16,Texas A+M,48,18.0
09/11/2010,Syracuse,20,Washington,41,13.0
09/11/2010,Toledo,20,Ohio,13,10.0
09/11/2010,Buffalo,6,Baylor,34,14.5
09/11/2010,Penn State,3,Alabama,24,14.0
09/11/2010,No Carolina State,28,U-C-F,21,3.0
09/11/2010,San Diego State,41,New Mexico State,21,-14.0
09/11/2010,U-A-B,7,S-M-U,28,11.0
09/11/2010,Texas Tech,52,New Mexico,17,-25.0
09/11/2010,Mississippi,27,Tulane,13,-21.0
09/11/2010,Stanford,35,U.C.L.A.,0,-6.5
09/11/2010,Colorado State,6,Nevada-Reno,51,24.0
09/11/2010,Virginia,14,Southern Cal,17,20.0
09/11/2010,Western Kentucky,28,Kentucky,63,24.5
09/11/2010,Florida Atlantic,17,Michigan State,30,26.0
09/11/2010,UL-Monroe,7,Arkansas,31,34.0
09/11/2010,Rice,32,North Texas,31,3.5
09/11/2010,Arkansas State,24,UL-Lafayette,31,2.0
09/11/2010,Troy,38,Oklahoma State,41,14.0
09/11/2010,Rutgers,19,Florida Intl,14,-16.5
09/11/2010,Texas Southern,3,Connecticut,62, 
09/11/2010,Western Illinois,21,Purdue,31, 
09/11/2010,Illinois State,3,Northwestern,37, 
09/11/2010,Gardner-Webb,38,Akron,37, 
09/11/2010,South Dakota,41,Minnesota,38, 
09/11/2010,McNeese State,6,Missouri,50, 
09/11/2010,Indiana State,7,Cincinnati,40, 
09/11/2010,New Hampshire,16,Pittsburgh,38, 
09/11/2010,James Madison,21,Virginia Tech,16, 
09/11/2010,Austin Peay,33,Middle Tennessee,56, 
09/11/2010,Eastern Kentucky,13,Louisville,23, 
09/11/2010,Montana State,22,Washington State,23, 
09/11/2010,Presbyterian,21,Clemson,58, 
09/11/2010,Georgia Southern,7,Navy,13, 
09/11/2010,Morgan State,3,Maryland,62, 
09/11/2010,Liberty,27,Ball State,23, 
09/11/2010,North Dakota,17,Northern Illinois,23, 
09/11/2010,Prairie View,7,Southern Miss,34, 
09/11/2010,Nicholls State,14,Western Michigan,49, 
09/11/2010,Tennessee Tech,7,Texas Christian,62, 
09/11/2010,Missouri State,24,Kansas State,48, 
09/11/2010,Southern Illinois,3,Illinois,35, 
09/11/2010,Idaho State,17,Utah State,38, 
09/11/2010,Northern Arizona,20,Arizona State,41, 
09/11/2010,The Citadel,6,Arizona,52, 
09/16/2010,Cincinnati,19,No Carolina State,30,2.0
09/17/2010,Kansas,16,Southern Miss,31,5.5
09/17/2010,California,31,Nevada-Reno,52,-3.0
09/18/2010,Arkansas,31,Georgia,24,1.5
09/18/2010,Maryland,17,West Virginia,31,10.0
09/18/2010,Iowa State,20,Kansas State,27,4.0
09/18/2010,Ball State,13,Purdue,24,16.0
09/18/2010,Northern Illinois,22,Illinois,28,7.5
09/18/2010,Connecticut,16,Temple,30,-4.5
09/18/2010,Ohio,7,Ohio State,43,30.0
09/18/2010,Kent State,0,Penn State,24,21.5
09/18/2010,Georgia Tech,30,North Carolina,24,3.0
09/18/2010,Vanderbilt,28,Mississippi,14,11.5
09/18/2010,East Carolina,27,Virginia Tech,49,20.0
09/18/2010,San Diego State,24,Missouri,27,14.5
09/18/2010,Tulsa,28,Oklahoma State,65,7.0
09/18/2010,Alabama,62,Duke,13,-24.5
09/18/2010,Hawaii,13,Colorado,31,14.0
09/18/2010,Brigham Young,10,Florida State,34,10.5
09/18/2010,Colorado State,10,Miami-Ohio,31,7.0
09/18/2010,Florida,31,Tennessee,17,-13.0
09/18/2010,Southern Cal,32,Minnesota,21,-11.5
09/18/2010,Washington State,21,S-M-U,35,23.5
09/18/2010,Arizona State,19,Wisconsin,20,11.5
09/18/2010,Nebraska,56,Washington,21,-3.5
09/18/2010,Louisville,28,Oregon State,35,20.5
09/18/2010,Air Force,24,Oklahoma,27,16.5
09/18/2010,Central Michigan,52,Eastern Michigan,14,-10.0
09/18/2010,Baylor,10,Texas Christian,45,21.0
09/18/2010,Marshall,28,Bowling Green,44,-3.5
09/18/2010,Navy,37,Louisiana Tech,23,-3.0
09/18/2010,U-C-F,24,Buffalo,10,-7.5
09/18/2010,Akron,10,Kentucky,47,24.5
09/18/2010,Toledo,37,Western Michigan,24,3.5
09/18/2010,Clemson,24,Auburn,27,7.5
09/18/2010,Texas,24,Texas Tech,14,-3.5
09/18/2010,Northwestern,30,Rice,13,-6.5
09/18/2010,Mississippi State,7,Louisiana State,29,7.5
09/18/2010,Utah,56,New Mexico,14,-23.0
09/18/2010,Fresno State,41,Utah State,24,-3.5
09/18/2010,Notre Dame,31,Michigan State,34,3.5
09/18/2010,Boise State,50,Wyoming,6,-23.5
09/18/2010,New Mexico State,10,UTEP,42,16.0
09/18/2010,Nevada-Las Vegas,7,Idaho,30,6.5
09/18/2010,Iowa,27,Arizona,34,2.0
09/18/2010,Houston,13,U.C.L.A.,31,-4.0
09/18/2010,Wake Forest,24,Stanford,68,17.5
09/18/2010,Indiana,38,Western Kentucky,21,-13.5
09/18/2010,North Texas,0,Army,24,5.0
09/18/2010,UL-Monroe,20,Arkansas State,34,4.5
09/18/2010,Florida Intl,20,Texas A+M,27,28.0
09/18/2010,Middle Tennessee,17,Memphis,24,-3.5
09/18/2010,Troy,33,U-A-B,34,-3.5
09/18/2010,Massachusetts,37,Michigan,42, 
09/18/2010,Furman,19,South Carolina,38, 
09/18/2010,Portland State,0,Oregon,69, 
09/18/2010,Maine,14,Syracuse,38, 
09/18/2010,Southern Utah,11,San Jose State,16, 
09/23/2010,Miami-Florida,31,Pittsburgh,3,-4.5
09/24/2010,Texas Christian,41,S-M-U,24,-18.5
09/25/2010,Central Michigan,25,Northwestern,30,7.0
09/25/2010,Toledo,31,Purdue,20,11.5
09/25/2010,Bowling Green,21,Michigan,65,25.0
09/25/2010,Ball State,0,Iowa,45,28.0
09/25/2010,Eastern Michigan,20,Ohio State,73,44.0
09/25/2010,Virginia Tech,19,Boston College,0,-3.5
09/25/2010,Temple,13,Penn State,22,14.0
09/25/2010,No Carolina State,45,Georgia Tech,28,7.5
09/25/2010,Wake Forest,0,Florida State,31,20.0
09/25/2010,Army,35,Duke,21,6.5
09/25/2010,Buffalo,21,Connecticut,45,21.0
09/25/2010,Georgia,12,Mississippi State,24,1.0
09/25/2010,Fresno State,38,Mississippi,55,2.0
09/25/2010,Miami-Ohio,13,Missouri,51,20.0
09/25/2010,Air Force,20,Wyoming,14,-14.0
09/25/2010,U-C-F,13,Kansas State,17,7.0
09/25/2010,Tulane,23,Houston,42,19.0
09/25/2010,Oklahoma,31,Cincinnati,29,-14.0
09/25/2010,Alabama,24,Arkansas,20,-7.0
09/25/2010,Oregon State,24,Boise State,37,18.5
09/25/2010,Stanford,37,Notre Dame,14,-5.0
09/25/2010,California,9,Arizona,10,6.5
09/25/2010,U.C.L.A.,34,Texas,12,16.0
09/25/2010,Idaho,34,Colorado State,36,-8.0
09/25/2010,Nevada-Reno,27,Brigham Young,13,-4.0
09/25/2010,Southern Cal,50,Washington State,16,-22.5
09/25/2010,New Mexico State,16,Kansas,42,24.0
09/25/2010,Kentucky,14,Florida,48,14.0
09/25/2010,Southern Miss,13,Louisiana Tech,12,-3.5
09/25/2010,U-A-B,29,Tennessee,32,14.0
09/25/2010,Akron,20,Indiana,35,22.5
09/25/2010,Ohio,23,Marshall,24,6.0
09/25/2010,South Carolina,27,Auburn,35,3.0
09/25/2010,San Jose State,3,Utah,56,30.5
09/25/2010,Utah State,7,San Diego State,41,8.5
09/25/2010,West Virginia,14,Louisiana State,20,9.5
09/25/2010,Baylor,30,Rice,13,-8.0
09/25/2010,North Carolina,17,Rutgers,13,-3.0
09/25/2010,Northern Illinois,34,Minnesota,23,4.0
09/25/2010,Memphis,13,UTEP,16,12.0
09/25/2010,New Mexico,10,Nevada-Las Vegas,45,10.5
09/25/2010,Oregon,42,Arizona State,31,-11.5
09/25/2010,Arkansas State,28,Troy,35,10.5
09/25/2010,Middle Tennessee,34,UL-Lafayette,14,-2.0
09/25/2010,North Texas,21,Florida Atlantic,17,10.0
09/25/2010,Western Kentucky,12,South Florida,24,28.0
09/25/2010,Florida Intl,28,Maryland,42,10.0
09/25/2010,Virginia Military,7,Virginia,48, 
09/25/2010,Northern Colorado,7,Michigan State,45, 
09/25/2010,Austin Peay,3,Wisconsin,70, 
09/25/2010,South Dakota State,3,Nebraska,17, 
09/25/2010,Colgate,7,Syracuse,42, 
09/25/2010,Northern Iowa,0,Iowa State,27, 
09/25/2010,Central Arkansas,14,Tulsa,41, 
09/25/2010,S E Louisiana,20,UL-Monroe,21, 
09/25/2010,Charleston Southern,7,Hawaii,66, 
09/30/2010,Texas A+M,35,Oklahoma State,38,3.0
10/01/2010,Brigham Young,16,Utah State,31,-4.5
10/02/2010,Texas,20,Oklahoma,28,3.5
10/02/2010,Vanderbilt,21,Connecticut,40,8.5
10/02/2010,Ohio,30,Eastern Michigan,17,-10.0
10/02/2010,Ball State,31,Central Michigan,17,19.5
10/02/2010,Wisconsin,24,Michigan State,34,-3.0
10/02/2010,Michigan,42,Indiana,35,-10.0
10/02/2010,Northwestern,29,Minnesota,28,-5.0
10/02/2010,Virginia Tech,41,No Carolina State,30,-3.5
10/02/2010,East Carolina,17,North Carolina,42,14.0
10/02/2010,Duke,16,Maryland,21,9.5
10/02/2010,Tulane,17,Rutgers,14,17.5
10/02/2010,Temple,42,Army,35,-6.0
10/02/2010,Georgia Tech,24,Wake Forest,20,-10.0
10/02/2010,Texas Tech,38,Iowa State,52,-7.0
10/02/2010,Kentucky,35,Mississippi,42,2.5
10/02/2010,Tulsa,48,Memphis,7,-8.5
10/02/2010,Kansas,7,Baylor,55,9.0
10/02/2010,Kent State,21,Miami-Ohio,27,-3.0
