Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/28/2008,UTEP,17,Buffalo,42,3.0
08/28/2008,Vanderbilt,34,Miami-Ohio,13,3.5
08/28/2008,No Carolina State,0,South Carolina,34,14.0
08/28/2008,Wake Forest,41,Baylor,13,-12.0
08/28/2008,Oregon State,28,Stanford,36,-2.5
08/28/2008,Troy,31,Middle Tennessee,17,-6.0
08/28/2008,Hofstra,3,Connecticut,35, 
08/28/2008,Eastern Illinois,12,Central Michigan,31, 
08/28/2008,Indiana State,0,Eastern Michigan,52, 
08/28/2008,Northeastern,14,Ball State,48, 
08/28/2008,Charleston Southern,7,Miami-Florida,52, 
08/28/2008,Eastern Kentucky,7,Cincinnati,40, 
08/28/2008,Jacksonville St,14,Georgia Tech,41, 
08/28/2008,South Dakota State,17,Iowa State,44, 
08/29/2008,Temple,35,Army,7,-7.0
08/29/2008,S-M-U,27,Rice,56,3.0
08/30/2008,Utah,25,Michigan,23,3.0
08/30/2008,Syracuse,10,Northwestern,30,12.0
08/30/2008,Memphis,24,Mississippi,41,7.5
08/30/2008,Ohio,20,Wyoming,21,13.5
08/30/2008,Akron,17,Wisconsin,38,26.5
08/30/2008,Western Michigan,24,Nebraska,47,14.0
08/30/2008,Washington,10,Oregon,44,13.5
08/30/2008,Tulsa,45,U-A-B,22,-13.5
08/30/2008,Texas Christian,26,New Mexico,3,-6.5
08/30/2008,Mississippi State,14,Louisiana Tech,22,-7.5
08/30/2008,Boston College,21,Kent State,0,-10.0
08/30/2008,Oklahoma State,39,Washington State,13,-7.0
08/30/2008,Northern Illinois,27,Minnesota,31,8.0
08/30/2008,Bowling Green,27,Pittsburgh,17,13.5
08/30/2008,Hawaii,10,Florida,56,34.5
08/30/2008,Virginia Tech,22,East Carolina,27,-9.0
08/30/2008,Illinois,42,Missouri,52,9.0
08/30/2008,Michigan State,31,California,38,5.0
08/30/2008,Southern Cal,52,Virginia,7,-19.5
08/30/2008,Alabama,34,Clemson,10,4.5
08/30/2008,Idaho,0,Arizona,70,27.0
08/30/2008,Utah State,17,Nevada-Las Vegas,27,12.5
08/30/2008,Western Kentucky,13,Indiana,31,19.0
08/30/2008,UL-Monroe,0,Auburn,34,26.0
08/30/2008,UL-Lafayette,21,Southern Miss,51,10.0
08/30/2008,Florida Atlantic,10,Texas,52,24.0
08/30/2008,Florida Intl,10,Kansas,40,36.0
08/30/2008,Arkansas State,18,Texas A+M,14,18.5
08/30/2008,North Texas,6,Kansas State,45,27.0
08/30/2008,Coastal Carolina,10,Penn State,66, 
08/30/2008,Chattanooga,2,Oklahoma,57, 
08/30/2008,Georgia Southern,21,Georgia,45, 
08/30/2008,Maine,3,Iowa,46, 
08/30/2008,Tennessee-Martin,7,South Florida,56, 
08/30/2008,Villanova,21,West Virginia,48, 
08/30/2008,Western Illinois,24,Arkansas,28, 
08/30/2008,Youngstown State,0,Ohio State,43, 
08/30/2008,Southern Utah,7,Air Force,41, 
08/30/2008,Towson,13,Navy,41, 
08/30/2008,UC-Davis,10,San Jose State,13, 
08/30/2008,Illinois State,10,Marshall,35, 
08/30/2008,Appalachian State,13,Louisiana State,41, 
08/30/2008,Delaware,7,Maryland,14, 
08/30/2008,McNeese State,27,North Carolina,35, 
08/30/2008,Northern Iowa,17,Brigham Young,41, 
08/30/2008,So Carolina State,0,U-C-F,17, 
08/30/2008,Eastern Washington,24,Texas Tech,49, 
08/30/2008,James Madison,7,Duke,31, 
08/30/2008,Southern Univ,3,Houston,55, 
08/30/2008,Idaho State,7,Boise State,49, 
08/30/2008,Grambling,13,Nevada-Reno,49, 
