Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/28/2004,Indiana State,0,Miami-Ohio,49, 
08/28/2004,Southern Cal,24,Virginia Tech,13,-16.0
09/02/2004,Buffalo,34,Eastern Michigan,37,6.0
09/02/2004,Texas A+M,21,Utah,41,9.5
09/02/2004,Boston College,19,Ball State,11,-17.0
09/02/2004,Tennessee-Martin,0,Western Michigan,42, 
09/02/2004,Northwestern,45,Texas Christian,48,5.5
09/02/2004,UTEP,9,Arizona State,41,24.5
09/03/2004,Washington State,21,New Mexico,17,-3.0
09/04/2004,Murray State,14,Connecticut,52, 
09/04/2004,Michigan State,14,Rutgers,19,-3.0
09/04/2004,Virginia,44,Temple,14,-16.0
09/04/2004,East Carolina,23,West Virginia,56,28.0
09/04/2004,Wake Forest,30,Clemson,37,11.5
09/04/2004,Cincinnati,6,Ohio State,27,13.0
09/04/2004,Kent State,7,Iowa,39,31.0
09/04/2004,Miami-Ohio,10,Michigan,43,13.0
09/04/2004,Akron,10,Penn State,48,15.5
09/04/2004,U-C-F,6,Wisconsin,34,23.0
09/04/2004,Georgia Southern,28,Georgia,48, 
09/04/2004,Samford,7,Georgia Tech,28, 
09/04/2004,Western Illinois,17,Nebraska,56, 
09/04/2004,South Carolina,31,Vanderbilt,6,-3.0
09/04/2004,Baylor,14,U-A-B,56,14.0
09/04/2004,Tulsa,3,Kansas,21,3.0
09/04/2004,UL-Monroe,0,Auburn,31,34.5
09/04/2004,Northern Iowa,0,Iowa State,23, 
09/04/2004,Western Kentucky,13,Kansas State,27, 
09/04/2004,California,56,Air Force,14,-14.0
09/04/2004,Utah State,17,Alabama,48,26.0
09/04/2004,Appalachian State,7,Wyoming,53, 
09/04/2004,Bowling Green,24,Oklahoma,40,33.0
09/04/2004,Colorado State,24,Colorado,27,4.5
09/04/2004,Oklahoma State,31,U.C.L.A.,20,1.5
09/04/2004,Troy,17,Marshall,15,14.0
09/04/2004,Northern Illinois,20,Maryland,23,18.5
09/04/2004,Duke,12,Navy,27,7.0
09/04/2004,Richmond,0,No Carolina State,42, 
09/04/2004,William + Mary,38,North Carolina,49, 
09/04/2004,Central Michigan,10,Indiana,41,10.0
09/04/2004,Memphis,20,Mississippi,13,6.0
09/04/2004,Arkansas State,20,Missouri,52,35.5
09/04/2004,New Mexico State,13,Arkansas,63,21.0
09/04/2004,North Texas,0,Texas,65,26.0
09/04/2004,Florida A+M,13,Illinois,52, 
09/04/2004,Virginia Military,14,Ohio,42, 
09/04/2004,Tulane,7,Mississippi State,28,6.5
09/04/2004,Oregon State,21,Louisiana State,22,18.0
09/04/2004,Texas Tech,27,S-M-U,13,-26.5
09/04/2004,Northwestern St(LA),7,UL-Lafayette,14, 
09/04/2004,Idaho,7,Boise State,65,29.5
09/04/2004,Idaho State,21,San Diego State,38, 
09/04/2004,Toledo,21,Minnesota,63,11.0
09/04/2004,Notre Dame,17,Brigham Young,20,-6.0
09/04/2004,Northern Arizona,3,Arizona,21, 
09/04/2004,San Jose State,3,Stanford,43,19.0
09/04/2004,Florida Atlantic,35,Hawaii,28,25.0
09/05/2004,Syracuse,0,Purdue,51,12.5
09/05/2004,Kentucky,0,Louisville,28,10.0
09/05/2004,Houston,7,Rice,10,-5.0
09/05/2004,Fresno State,35,Washington,16,-2.0
09/05/2004,Nevada-Las Vegas,17,Tennessee,42,16.5
09/06/2004,Nevada-Reno,21,Louisiana Tech,38,6.5
09/09/2004,Missouri,14,Troy,24,-10.0
09/10/2004,Florida State,10,Miami-Florida,16,1.5
09/10/2004,Oregon State,34,Boise State,53,7.5
09/11/2004,U.C.L.A.,35,Illinois,17,-3.0
09/11/2004,Nevada-Las Vegas,3,Wisconsin,18,16.0
09/11/2004,Western Michigan,0,Virginia Tech,63,24.5
09/11/2004,Duke,20,Connecticut,22,13.5
09/11/2004,Central Michigan,7,Michigan State,24,25.5
09/11/2004,Arizona State,30,Northwestern,21,1.5
09/11/2004,Southern Miss,21,Nebraska,17,14.0
09/11/2004,Iowa State,10,Iowa,17,25.0
09/11/2004,Auburn,43,Mississippi State,14,-13.0
09/11/2004,Penn State,7,Boston College,21,-1.5
09/11/2004,Louisville,52,Army,21,-23.0
09/11/2004,Ball State,7,Purdue,59,29.0
09/11/2004,Michigan,20,Notre Dame,28,-13.0
09/11/2004,North Carolina,24,Virginia,56,20.5
09/11/2004,Marshall,21,Ohio State,24,16.0
09/11/2004,Colorado,20,Washington State,12,3.0
09/11/2004,Indiana,30,Oregon,24,20.5
09/11/2004,Brigham Young,10,Stanford,37,3.5
09/11/2004,Georgia,20,South Carolina,16,-8.5
09/11/2004,Temple,22,Maryland,45,26.0
09/11/2004,Syracuse,37,Buffalo,17,-16.5
09/11/2004,Eastern Michigan,10,Florida,49,38.0
09/11/2004,West Virginia,45,U-C-F,20,-20.0
09/11/2004,Ohio,3,Pittsburgh,24,18.0
09/11/2004,Miami-Ohio,26,Cincinnati,45,-2.5
09/11/2004,Wake Forest,31,East Carolina,17,-17.5
09/11/2004,Toledo,14,Kansas,63,3.0
09/11/2004,Houston,13,Oklahoma,63,35.5
09/11/2004,Tulsa,21,Oklahoma State,38,20.0
09/11/2004,S-M-U,0,Texas Christian,44,23.0
09/11/2004,Fresno State,45,Kansas State,21,13.5
09/11/2004,Georgia Tech,28,Clemson,24,7.0
09/11/2004,Wyoming,0,Texas A+M,31,11.5
09/11/2004,Texas Tech,24,New Mexico,27,-4.0
09/11/2004,Colorado State,0,Southern Cal,49,24.5
09/11/2004,Texas,22,Arkansas,20,-11.0
09/11/2004,Mississippi,7,Alabama,28,11.0
09/11/2004,Utah,23,Arizona,6,-12.5
09/11/2004,Middle Tennessee,31,Akron,24,7.0
09/11/2004,New Mexico State,14,California,41,32.0
09/11/2004,UL-Lafayette,20,Louisiana Tech,24,14.0
09/11/2004,Florida Atlantic,20,North Texas,13,7.5
09/11/2004,Arkansas State,3,Louisiana State,53,40.5
09/11/2004,Idaho,7,Utah State,14,10.5
09/11/2004,Northeastern,24,Navy,28, 
09/11/2004,Eastern Washington,20,Air Force,42, 
09/11/2004,Illinois State,21,Minnesota,37, 
09/11/2004,S E Missouri St,10,Bowling Green,49, 
09/11/2004,Southern Illinois,22,Northern Illinois,23, 
09/11/2004,Florida Intl,22,Youngstown State,16, 
09/11/2004,Liberty,10,Kent State,38, 
09/11/2004,Florida A+M,19,Tulane,39, 
09/11/2004,New Hampshire,35,Rutgers,24, 
09/11/2004,Texas State,17,Baylor,24, 
09/11/2004,Tennessee Tech,7,South Florida,21, 
09/11/2004,Chattanooga,21,Memphis,52, 
09/11/2004,Sacramento State,7,Nevada-Reno,59, 
09/11/2004,Weber State,0,UTEP,32, 
09/17/2004,Connecticut,7,Boston College,27,8.0
09/18/2004,San Diego State,21,Michigan,24,21.0
09/18/2004,Western Michigan,27,Illinois,30,9.5
09/18/2004,Kent State,21,Rutgers,29,12.5
09/18/2004,U-C-F,13,Penn State,37,21.5
09/18/2004,Duke,17,Virginia Tech,41,25.0
09/18/2004,Maryland,16,West Virginia,19,6.5
09/18/2004,Indiana,32,Kentucky,51,2.0
09/18/2004,Vanderbilt,23,Mississippi,26,7.0
09/18/2004,Marshall,3,Georgia,13,18.5
09/18/2004,Louisiana Tech,0,Miami-Florida,48,31.0
09/18/2004,Cincinnati,7,Syracuse,19,-1.0
09/18/2004,Kansas,17,Northwestern,20,2.0
09/18/2004,Ball State,0,Missouri,48,26.0
09/18/2004,Northern Illinois,41,Iowa State,48,2.0
09/18/2004,Ohio,20,Miami-Ohio,40,18.0
09/18/2004,Akron,0,Virginia,51,31.0
09/18/2004,Ohio State,22,No Carolina State,14,-2.5
09/18/2004,Louisiana State,9,Auburn,10,2.0
09/18/2004,Oregon,7,Oklahoma,31,27.0
09/18/2004,Wisconsin,9,Arizona,7,-10.5
09/18/2004,New Mexico,7,Oregon State,17,12.5
